,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,sony mrw62e/s1/181 17-in-1 external usb memory card reader mrw62es1181,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.001983946654945612,0.9980160533450544,"('ltable_name',)",['olympus black 10 megapixels digital camera sp565uz'],['sony mrw62e/s1/181 17-in-1 external usb memory card reader mrw62es1181'],0@994 1@336 0@18693,2
1,,olympus black 10 megapixels digital camera sp565uz,works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0015508817741647363,0.9984491182258353,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18693,2
3,,olympus black 10 megapixels digital camera sp565uz,with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.001793219125829637,0.9982067808741704,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18695,2
5,,olympus black 10 megapixels digital camera sp565uz,mrw62es1181 supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0005059373797848821,0.9994940626202151,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['mrw62es1181 supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18679,2
7,,olympus black 10 megapixels digital camera sp565uz,different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0008474445785395801,0.9991525554214604,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18685,2
9,,olympus black 10 megapixels digital camera sp565uz,formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0012937745777890086,0.998706225422211,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18691,2
11,,olympus black 10 megapixels digital camera sp565uz,17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.000922744395211339,0.9990772556047887,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18683,2
13,,olympus black 10 megapixels digital camera sp565uz,macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0014092487981542945,0.9985907512018457,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18697,2
15,,olympus black 10 megapixels digital camera sp565uz,supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0009035260300152004,0.9990964739699848,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18681,2
17,,olympus black 10 megapixels digital camera sp565uz,card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0009057727293111384,0.9990942272706889,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18689,2
