,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score
0,Jumbo,Figure 8 Brewing,American Barleywine,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"{'ltable_Beer_Name', 'ltable_Style', 'ltable_ABV', 'ltable_Brew_Factory_Name'}",0.9316110292434693
15,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,,0.06498897075653076
1,Jumbo,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name',)",0.5057958364486694
2,Bulleit Bourbon Barrel Aged G'Knight,Figure 8 Brewing,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Brew_Factory_Name',)",0.06838397681713104
3,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Barleywine,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Style',)",0.06174208223819733
4,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_ABV',)",0.06968574970960617
5,Jumbo,Figure 8 Brewing,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')",0.5283562541007996
6,Jumbo,Oskar Blues Grill & Brew,American Barleywine,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Style')",0.4833116233348846
7,Jumbo,Oskar Blues Grill & Brew,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_ABV')",0.5260850787162781
8,Bulleit Bourbon Barrel Aged G'Knight,Figure 8 Brewing,American Barleywine,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Brew_Factory_Name', 'ltable_Style')",0.06496722251176834
9,Bulleit Bourbon Barrel Aged G'Knight,Figure 8 Brewing,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Brew_Factory_Name', 'ltable_ABV')",0.07330590486526489
10,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Barleywine,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Style', 'ltable_ABV')",0.06623487919569017
11,Jumbo,Figure 8 Brewing,American Barleywine,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')",0.5003868937492371
12,Jumbo,Figure 8 Brewing,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')",0.5459629297256471
13,Jumbo,Oskar Blues Grill & Brew,American Barleywine,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')",0.5010991096496582
14,Bulleit Bourbon Barrel Aged G'Knight,Figure 8 Brewing,American Barleywine,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')",0.06967740505933763
