,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
19,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,-,0.005742662,0.99425733,"('rtable_ABV',)",['7.40 %'],['-'],1@2628 0@3917 1@2224,2
18,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.006213309,0.9937867,"('rtable_Style',)",['Amber Ale'],['Amber Ale'],1@2628 0@3917 1@2224,2
16,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Phillips Amber Ale,18th Street Brewery,Amber Ale,7.40 %,0.01496195,0.9850381,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Phillips Amber Ale'],1@2628 0@3917 1@2224,2
15,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,5.40 %,0.0062253447,0.99377465,"('rtable_ABV',)",['7.40 %'],['5.40 %'],1@2616 0@3917 1@2224,2
12,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Hawaii Nui Sunset Amber Ale,18th Street Brewery,Amber Ale,7.40 %,0.012513902,0.9874862,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Hawaii Nui Sunset Amber Ale'],1@2616 0@3917 1@2224,2
24,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Himmelberger North 40 Amber,18th Street Brewery,Amber Ale,7.40 %,0.0065714894,0.9934285,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Himmelberger North 40 Amber'],1@1237 0@3917 1@2224,2
38,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7 %,0.005739129,0.9942609,"('rtable_ABV',)",['7.40 %'],['7 %'],1@2068 0@3917 1@2224,2
35,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Red Yeti Stepchild Amber,18th Street Brewery,Amber Ale,7.40 %,0.007424917,0.99257505,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Red Yeti Stepchild Amber'],1@2068 0@3917 1@2224,2
28,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Lofty Zeb_s American Red Ale,18th Street Brewery,Amber Ale,7.40 %,0.008277394,0.99172264,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Lofty Zeb_s American Red Ale'],1@2070 0@3917 1@2224,2
32,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rusty Scupper Amber Ale,18th Street Brewery,Amber Ale,7.40 %,0.0035860874,0.9964139,"('rtable_Beer_Name',)",['Rude Hippo Honey Basil Amber'],['Rusty Scupper Amber Ale'],1@1506 0@3917 1@2224,2
