,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score
0,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs,India,6.70 %,"{'rtable_Beer_Name', 'rtable_Style', 'rtable_ABV', 'rtable_Brew_Factory_Name'}",0.3284130096435547
15,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,,0.7921569347381592
1,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,Amber Ale,7.40 %,"('rtable_Beer_Name',)",0.4807078540325165
2,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Bauhaus Brew Labs,Amber Ale,7.40 %,"('rtable_Brew_Factory_Name',)",0.896066427230835
3,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,India,7.40 %,"('rtable_Style',)",0.8812021017074585
4,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,6.70 %,"('rtable_ABV',)",0.8316918015480042
5,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs,Amber Ale,7.40 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')",0.4792366921901703
6,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,India,7.40 %,"('rtable_Beer_Name', 'rtable_Style')",0.4513731300830841
7,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,Amber Ale,6.70 %,"('rtable_Beer_Name', 'rtable_ABV')",0.35617297887802124
8,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Bauhaus Brew Labs,India,7.40 %,"('rtable_Brew_Factory_Name', 'rtable_Style')",0.8789762258529663
9,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Bauhaus Brew Labs,Amber Ale,6.70 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')",0.8292100429534912
10,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,India,6.70 %,"('rtable_Style', 'rtable_ABV')",0.8082558512687683
11,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs,India,7.40 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')",0.4500650465488434
12,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs,Amber Ale,6.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')",0.35554197430610657
13,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,India,6.70 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')",0.33180251717567444
14,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Bauhaus Brew Labs,India,6.70 %,"('rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')",0.8056374192237854
