,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,label
0,olympus black 10 megapixels digital camera sp565uz,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
1,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,nan,0
2,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
3,sony cyber-shot black digital camera dsch10b,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
4,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
5,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
6,canon black rechargeable battery 9612a001,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
7,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,canon dc310 digital camcorder 2694b001,nan,nan,0
8,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
9,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,nan,0
