,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Main Street Amber Ale,Fifty West Brewing Co,American Barleywine,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
1,Main Street Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,1
2,Main Street Amber Ale,Central City Brewers + Distillers,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,1
3,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Bristol Old No. 23 Barley Wine,Thorn Street Brewery,Amber Ale,6.20 %,1
4,Main Street Amber Ale,Tarraco Beer,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
5,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,-,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,1
6,Main Street Amber Ale,Funky Buddha Brewery,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
7,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Mammoth Real McCoy Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
8,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Capitol City Amber Waves Ale,Thorn Street Brewery,Amber Ale,6.20 %,1
9,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Heist American Style Red Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
