,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
3,toshiba 10.2 ' portable dvd player in black sdp101s,toshiba 10.2 ' portable dvd,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.36782077,0.6321792,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","[""toshiba 10.2 ' portable dvd player in black sdp101s"", ""toshiba 10.2 ' portable dvd""]",0@43022 1@664 0@550,2
4,panasonic black 8.5 ' portable dvd player dvdls83,toshiba 10.2 ' portable dvd,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.48492894,0.51507115,"('ltable_description', 'ltable_price')","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish"", nan]","[""toshiba 10.2 ' portable dvd"", nan]",0@43022 1@664 0@550,2
5,toshiba 10.2 ' portable dvd player in black sdp101s,toshiba 10.2 ' portable,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.36976638,0.63023365,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","[""toshiba 10.2 ' portable dvd player in black sdp101s"", ""toshiba 10.2 ' portable""]",0@43020 1@664 0@550,2
6,panasonic black 8.5 ' portable dvd player dvdls83,toshiba 10.2 ' portable,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.48618555,0.5138144,"('ltable_description', 'ltable_price')","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish"", nan]","[""toshiba 10.2 ' portable"", nan]",0@43020 1@664 0@550,2
7,toshiba 10.2 ' portable dvd player in black sdp101s,toshiba 10.2 ' portable dvd player in,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.36202738,0.6379726,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","[""toshiba 10.2 ' portable dvd player in black sdp101s"", ""toshiba 10.2 ' portable dvd player in""]",0@43026 1@664 0@550,2
8,panasonic black 8.5 ' portable dvd player dvdls83,toshiba 10.2 ' portable dvd player in,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.47462672,0.5253733,"('ltable_description', 'ltable_price')","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish"", nan]","[""toshiba 10.2 ' portable dvd player in"", nan]",0@43026 1@664 0@550,2
9,sony white 8 ' portable dvd player dvpfx820w,sony dvp-fx820 white 8 ' portable dvd player,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.31231016,0.6876898,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","[""sony white 8 ' portable dvd player dvpfx820w"", ""sony dvp-fx820 white 8 ' portable dvd player""]",0@41562 1@664 0@550,2
10,panasonic black 8.5 ' portable dvd player dvdls83,sony dvp-fx820 white 8 ' portable dvd player,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.47450462,0.5254954,"('ltable_description', 'ltable_price')","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish"", nan]","[""sony dvp-fx820 white 8 ' portable dvd player"", nan]",0@41562 1@664 0@550,2
11,toshiba 10.2 ' portable dvd player in black sdp101s,toshiba 10.2 ' portable dvd player in black,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.36242214,0.63757783,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","[""toshiba 10.2 ' portable dvd player in black sdp101s"", ""toshiba 10.2 ' portable dvd player in black""]",0@43028 1@664 0@550,2
12,panasonic black 8.5 ' portable dvd player dvdls83,toshiba 10.2 ' portable dvd player in black,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0.4753636,0.5246364,"('ltable_description', 'ltable_price')","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish"", nan]","[""toshiba 10.2 ' portable dvd player in black"", nan]",0@43028 1@664 0@550,2
