,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
21,Jumbo Love,Figure 8 Brewing,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.4610865116119385,0.5389134883880615,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew', '8.70 %']","['Jumbo Love', 'Figure 8 Brewing', '11.00 %']",0@4244 1@2470 0@1219,3
20,Jumbo Love,Figure,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.4849556088447571,0.5150443911552429,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew', '8.70 %']","['Jumbo Love', 'Figure', '11.00 %']",0@85824 1@2470 0@1219,3
19,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar Blues G_Knight,Oskar Blues Brewery,Barley Wine,8.70 %,0.2135518193244934,0.7864481806755066,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing', '-']","['Oskar Blues G_Knight', 'Oskar Blues Brewery', '8.70 %']",1@20177 0@1219 1@2470,3
16,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar,Oskar Blues Brewery,Barley Wine,8.70 %,0.0909430980682373,0.9090569019317627,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing', '-']","['Oskar', 'Oskar Blues Brewery', '8.70 %']",1@20173 0@1219 1@2470,3
11,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar Blues G_Knight &#40;,Oskar Blues Brewery,Barley Wine,8.70 %,0.4517109990119934,0.5482890009880066,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing', '-']","['Oskar Blues G_Knight &#40;', 'Oskar Blues Brewery', '8.70 %']",1@20179 0@1219 1@2470,3
12,Bourbon,Figure 8 Brewing,American Amber / Red Ale,-,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.4887065887451172,0.5112934112548828,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew', '8.70 %']","['Bourbon', 'Figure 8 Brewing', '-']",0@51638 1@2470 0@1219,3
10,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,&#41;,Oskar Blues Brewery,Barley Wine,8.70 %,0.27745187282562256,0.7225481271743774,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing', '-']","['&#41;', 'Oskar Blues Brewery', '8.70 %']",1@20184 0@1219 1@2470,3
9,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Oskar Blues,Oskar Blues Brewery,Barley Wine,8.70 %,0.16041624546051025,0.8395837545394897,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing', '-']","['Oskar Blues', 'Oskar Blues Brewery', '8.70 %']",1@20175 0@1219 1@2470,3
14,Love,Figure 8 Brewing,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.3093668222427368,0.6906331777572632,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew', '8.70 %']","['Love', 'Figure 8 Brewing', '11.00 %']",0@85821 1@2470 0@1219,3
23,Jumbo,Figure 8 Brewing,American Amber / Red Ale,11.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.33339250087738037,0.6666074991226196,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew', '8.70 %']","['Jumbo', 'Figure 8 Brewing', '11.00 %']",0@85822 1@2470 0@1219,3
