,explanation,label,latency,match,prediction,row,summary,type
0,"{'ltable_Beer_Name': 0.75, 'ltable_Brew_Factory_Name': 0.75, 'ltable_Style': 0.75, 'ltable_ABV': 0.5, 'rtable_Beer_Name': 0.75, 'rtable_Brew_Factory_Name': 0.75, 'rtable_Style': 0.5, 'rtable_ABV': 0.75}",0.0,530.4113791940035,0.0,[0.99348313 0.00651687],1219-2470,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.0, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.0, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa

1,"{'ltable_Beer_Name': 0.27835051546391754, 'ltable_Brew_Factory_Name': 0.3917525773195877, 'ltable_Style': 0.24742268041237112, 'ltable_ABV': 0.24742268041237112, 'rtable_Beer_Name': 0.5360824742268041, 'rtable_Brew_Factory_Name': 0.35051546391752575, 'rtable_Style': 0.41237113402061853, 'rtable_ABV': 0.35051546391752575}",1.0,222.82547074100876,1.0,[0.33279705 0.66720295],3917-2224,"{'ltable_Beer_Name': 0.2, 'ltable_Brew_Factory_Name': 0.4, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.6, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.3, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.4, 'ltable_Beer_Name/ltable_Style': 0.1, 'ltable_Beer_Name/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Brew_Factory_Name/ltable_ABV': 0.4, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.6, 'rtable_Beer_Name/rtable_Style': 0.6, 'rtable_Beer_Name/rtable_ABV': 0.6, 'rtable_Brew_Factory_Name/rtable_Style': 0.3, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.4, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.6, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.6, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.6, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.3}",certa
2,"{'ltable_Beer_Name': 0.5, 'ltable_Brew_Factory_Name': 0.5, 'ltable_Style': 0.5, 'ltable_ABV': 0.5, 'rtable_Beer_Name': 1.0, 'rtable_Brew_Factory_Name': 1.0, 'rtable_Style': 1.0, 'rtable_ABV': 0.5}",0.0,740.7054477619968,0.0,[0.9951586 0.0048414],2155-2948,"{'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.0, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 1.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
3,"{'ltable_Beer_Name': 0.43396226415094336, 'ltable_Brew_Factory_Name': 0.5094339622641509, 'ltable_Style': 0.660377358490566, 'ltable_ABV': 0.43396226415094336, 'rtable_Beer_Name': 0.3962264150943396, 'rtable_Brew_Factory_Name': 0.3962264150943396, 'rtable_Style': 0.32075471698113206, 'rtable_ABV': 0.32075471698113206}",1.0,281.7680932259973,0.0,[0.57263508 0.42736492],271-1410,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.09090909090909091, 'ltable_Style': 0.2727272727272727, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.09090909090909091, 'rtable_Brew_Factory_Name': 0.09090909090909091, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.09090909090909091, 'ltable_Beer_Name/ltable_Style': 0.2727272727272727, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.36363636363636365, 'ltable_Brew_Factory_Name/ltable_ABV': 0.09090909090909091, 'ltable_Style/ltable_ABV': 0.2727272727272727, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.18181818181818182, 'rtable_Beer_Name/rtable_Style': 0.09090909090909091, 'rtable_Beer_Name/rtable_ABV': 0.09090909090909091, 'rtable_Brew_Factory_Name/rtable_Style': 0.09090909090909091, 'rtable_Brew_Factory_Name/rtable_ABV': 0.09090909090909091, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.36363636363636365, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.09090909090909091, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.2727272727272727, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.36363636363636365, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.18181818181818182, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.18181818181818182, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.09090909090909091, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.09090909090909091}",certa
4,"{'ltable_Beer_Name': 0.5882352941176471, 'ltable_Brew_Factory_Name': 0.37254901960784315, 'ltable_Style': 0.37254901960784315, 'ltable_ABV': 0.37254901960784315, 'rtable_Beer_Name': 0.607843137254902, 'rtable_Brew_Factory_Name': 0.607843137254902, 'rtable_Style': 0.33333333333333337, 'rtable_ABV': 0.33333333333333337}",0.0,448.7749816669966,0.0,[0.84658715 0.15341285],3309-716,"{'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.2, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.7, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.3, 'ltable_Beer_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.7, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.7, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.3, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa
5,"{'ltable_Beer_Name': 0.5324675324675325, 'ltable_Brew_Factory_Name': 0.8571428571428573, 'ltable_Style': 0.5454545454545455, 'ltable_ABV': 0.5324675324675325, 'rtable_Beer_Name': 0.15584415584415584, 'rtable_Brew_Factory_Name': 0.15584415584415584, 'rtable_Style': 0.14285714285714285, 'rtable_ABV': 0.12987012987012986}",0.0,620.5330825639976,0.0,[0.84197603 0.15802397],1024-37,"{'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.8, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.1, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.8, 'ltable_Beer_Name/ltable_Style': 0.2, 'ltable_Beer_Name/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style': 0.8, 'ltable_Brew_Factory_Name/ltable_ABV': 0.8, 'ltable_Style/ltable_ABV': 0.2, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.1, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.8, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.8, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.8}",certa
6,"{'ltable_Beer_Name': 0.49411764705882344, 'ltable_Brew_Factory_Name': 0.588235294117647, 'ltable_Style': 0.3764705882352941, 'ltable_ABV': 0.4, 'rtable_Beer_Name': 0.36470588235294116, 'rtable_Brew_Factory_Name': 0.1764705882352941, 'rtable_Style': 0.23529411764705882, 'rtable_ABV': 0.23529411764705882}",1.0,207.95087810700352,1.0,[0.43773729 0.56226271],1780-685,"{'ltable_Beer_Name': 0.4, 'ltable_Brew_Factory_Name': 0.6, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.4, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.6, 'ltable_Beer_Name/ltable_Style': 0.3, 'ltable_Beer_Name/ltable_ABV': 0.4, 'ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Brew_Factory_Name/ltable_ABV': 0.6, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.1, 'rtable_Beer_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.6, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.6, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.3, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.2, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.2, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa
7,"{'ltable_Beer_Name': 0.44642857142857145, 'ltable_Brew_Factory_Name': 0.44642857142857145, 'ltable_Style': 0.26785714285714285, 'ltable_ABV': 0.26785714285714285, 'rtable_Beer_Name': 0.7321428571428571, 'rtable_Brew_Factory_Name': 0.44642857142857145, 'rtable_Style': 0.4107142857142857, 'rtable_ABV': 0.4107142857142857}",0.0,215.00746896099008,0.0,[0.98790563 0.01209437],1479-1563,"{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.4, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.5, 'rtable_Beer_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa

