,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Clifford 's Big Red Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Blue Cat Red Toad Amber Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
2,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,0
3,Big Red Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
4,Batch 200 _ `` Olympus Mons Imperial Red Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
5,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Baranof Island Brewing Company,Amber Ale,6 %,0
6,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,18th Street Deal With the Devil Pale Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
7,Good Medicine Strong Red Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
8,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Baranof Island Brewing Company,Amber Ale,6 %,0
9,Lavery Imperial Red Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
