,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Double Dragon Imperial Red Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,4.50 %,0
1,Bulleit Bourbon Barrel Aged G'Knight,Portneuf Valley Brewing,American Amber / Red Ale,-,Scuttlebutt Mateo Loco Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
2,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,4.50 %,1
3,Bulleit Bourbon Barrel Aged G'Knight,Bier Kaffee Aqula,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
4,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Scuttlebutt Brewing Co. .,Barley Wine,5.50 %,1
5,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Heavy Seas Desert Island Series American Honey Amber Ale,Sawdust City Brewing Company,Amber Ale,5.50 %,1
6,Honey Basil Amber,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Figure Eight Brewing,Amber Ale,5.50 %,1
7,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sawdust City Red Rocket Coffee Spiced Stout,Figure Eight Brewing,Amber Ale,5.50 %,1
8,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Scuttlebutt Brewing Co. .,Amber Ale,-,1
9,Clifford 's Big Red Ale,Portneuf Valley Brewing,American Amber / Red Ale,9.70 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
