,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,Suit & Tie ( feat . JAY Z ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.8387949,0.1612051,"('ltable_Song_Name',)",['VHS Outro ( Interlude )'],['Suit & Tie ( feat . JAY Z )'],0@271 1@53030 0@6437,2
9,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,David 's Nightmare,X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.5984658,0.40153414,"('rtable_Song_Name',)",['Moving Day ( Interlude )'],"[""David 's Nightmare""]",1@53030 0@271 1@12316,2
6,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,David and Lisa 's Love Song 2,X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.6788298,0.32117015,"('rtable_Song_Name',)",['Moving Day ( Interlude )'],"[""David and Lisa 's Love Song 2""]",1@53030 0@271 1@12320,2
5,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,David and Lisa 's Love Song,X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.6767755,0.3232245,"('rtable_Song_Name',)",['Moving Day ( Interlude )'],"[""David and Lisa 's Love Song""]",1@53030 0@271 1@12315,2
4,I Do n't Like You ( Bonus Track ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.9585061,0.041493814,"('ltable_Song_Name',)",['VHS Outro ( Interlude )'],"[""I Do n't Like You ( Bonus Track )""]",0@271 1@53030 0@3118,2
3,Safe and Sound ( NOW What 's Next Bonus Track ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.8985112,0.10148885,"('ltable_Song_Name',)",['VHS Outro ( Interlude )'],"[""Safe and Sound ( NOW What 's Next Bonus Track )""]",0@271 1@53030 0@3117,2
2,Blurred Lines ( feat . T.I. & Pharrell ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.6709826,0.32901743,"('ltable_Song_Name',)",['VHS Outro ( Interlude )'],['Blurred Lines ( feat . T.I. & Pharrell )'],0@271 1@53030 0@6140,2
1,Take Back the Night,X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.7489517,0.25104827,"('ltable_Song_Name',)",['VHS Outro ( Interlude )'],['Take Back the Night'],0@271 1@53030 0@6141,2
7,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Living For The Night,X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.5331236,0.46687642,"('rtable_Song_Name',)",['Moving Day ( Interlude )'],['Living For The Night'],1@53030 0@271 1@51816,2
8,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Digital Indentity ( Album Mix ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.89350545,0.10649457,"('rtable_Song_Name',)",['Moving Day ( Interlude )'],['Digital Indentity ( Album Mix )'],1@53030 0@271 1@37346,2
