,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
29,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula American,Heavy Seas Brewing Company,Amber Ale,4.50 %,0.08519381284713745,0.9148061871528625,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Aqula American', '4.50 %']",1@54045 0@3309 1@716,2
26,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula,Heavy Seas Brewing Company,Amber Ale,4.50 %,0.030774712562561035,0.969225287437439,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Aqula', '4.50 %']",1@54043 0@3309 1@716,2
24,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula,Bier Kaffee Aqula,Amber Ale,4.90 %,0.049097418785095215,0.9509025812149048,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Aqula', 'Bier Kaffee Aqula']",1@54043 0@3309 1@716,2
23,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Ale,Heavy Seas Brewing Company,Amber Ale,4.50 %,0.1658298373222351,0.8341701626777649,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Ale', '4.50 %']",1@54046 0@3309 1@716,2
21,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Ale,Bier Kaffee Aqula,Amber Ale,4.90 %,0.23918098211288452,0.7608190178871155,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Ale', 'Bier Kaffee Aqula']",1@54046 0@3309 1@716,2
20,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.50 %,0.3539760708808899,0.6460239291191101,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Amber Ale', '4.50 %']",1@54044 0@3309 1@716,2
19,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Amber Ale,Bier Kaffee Aqula,Amber Ale,4.90 %,0.4590197801589966,0.5409802198410034,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Amber Ale', 'Bier Kaffee Aqula']",1@54044 0@3309 1@716,2
18,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula American Amber,Heavy Seas Brewing Company,Amber Ale,4.50 %,0.21291011571884155,0.7870898842811584,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Aqula American Amber', '4.50 %']",1@54047 0@3309 1@716,2
16,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula American Amber,Bier Kaffee Aqula,Amber Ale,4.90 %,0.29461485147476196,0.705385148525238,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Aqula American Amber', 'Bier Kaffee Aqula']",1@54047 0@3309 1@716,2
27,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Aqula American,Bier Kaffee Aqula,Amber Ale,4.90 %,0.12817806005477905,0.871821939945221,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Aqula American', 'Bier Kaffee Aqula']",1@54045 0@3309 1@716,2
14,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Amber Ale,Deverell,Amber Ale,4.90 %,0.4581696391105652,0.5418303608894348,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Amber Ale', 'Deverell']",1@52938 0@3309 1@716,2
6,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Amber Ale,CervecerÃa Gutmann,Amber Ale,4.90 %,0.45719653367996216,0.5428034663200378,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Amber Ale', 'CervecerÃa Gutmann']",1@27358 0@3309 1@716,2
