,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score,label
0,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,/ Red Ale,8.70 %,"{'rtable_ABV', 'rtable_Beer_Name', 'rtable_Style', 'rtable_Brew_Factory_Name'}",0.9900831312857569,
15,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,,0.006516868714243174,
1,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Brewing,Barley Wine,-,"('rtable_Beer_Name',)",0.041578438133001334,
2,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Oskar Blues Grill & Brew,Barley Wine,-,"('rtable_Brew_Factory_Name',)",0.007682323921471834,
3,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,/ Red Ale,-,"('rtable_Style',)",0.008553455583751202,
4,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,8.70 %,"('rtable_ABV',)",0.007734524086117744,
5,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,Barley Wine,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')",0.4748578667640686,
6,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Brewing,/ Red Ale,-,"('rtable_Beer_Name', 'rtable_Style')",0.03420039638876915,
7,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Brewing,Barley Wine,8.70 %,"('rtable_Beer_Name', 'rtable_ABV')",0.03405435010790825,
8,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Oskar Blues Grill & Brew,/ Red Ale,-,"('rtable_Brew_Factory_Name', 'rtable_Style')",0.008064698427915573,
9,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Oskar Blues Grill & Brew,Barley Wine,8.70 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')",0.0077827852219343185,
10,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,/ Red Ale,8.70 %,"('rtable_Style', 'rtable_ABV')",0.008922500535845757,
11,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,/ Red Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')",0.440927654504776,
12,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,Barley Wine,8.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')",0.5162330269813538,
13,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Brewing,/ Red Ale,8.70 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')",0.02561127208173275,
14,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Oskar Blues Grill & Brew,/ Red Ale,8.70 %,"('rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')",0.008191363885998726,
