,explanation,summary,type,latency,match,label,row,prediction
0,"{'ltable_Beer_Name': 1.0, 'ltable_Brew_Factory_Name': 1.0, 'ltable_Style': 1.0, 'ltable_ABV': 1.0, 'rtable_Beer_Name': 1.0, 'rtable_Brew_Factory_Name': 1.0, 'rtable_Style': 1.0, 'rtable_ABV': 1.0}","{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.0, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa,101.25744587508962,0.0,0.0,492-1635,[9.99604876e-01 3.95124458e-04]
1,"{'ltable_Beer_Name': 0.3709677419354839, 'ltable_Brew_Factory_Name': 0.564516129032258, 'ltable_Style': 0.29032258064516125, 'ltable_ABV': 0.32258064516129026, 'rtable_Beer_Name': 0.5967741935483871, 'rtable_Brew_Factory_Name': 0.3387096774193548, 'rtable_Style': 0.4032258064516129, 'rtable_ABV': 0.3387096774193548}","{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.4, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.3, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.2, 'ltable_Brew_Factory_Name/ltable_ABV': 0.4, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.3, 'rtable_Beer_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.4, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.2, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.5, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.3, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,47.578268326004036,1.0,1.0,3917-2224,[0.03485423 0.96514577]
2,"{'ltable_Beer_Name': 0.8627450980392157, 'ltable_Brew_Factory_Name': 0.47058823529411764, 'ltable_Style': 0.47058823529411764, 'ltable_ABV': 0.49019607843137253, 'rtable_Beer_Name': 0.33333333333333326, 'rtable_Brew_Factory_Name': 0.2549019607843137, 'rtable_Style': 0.2549019607843137, 'rtable_ABV': 0.2549019607843137}","{'ltable_Beer_Name': 0.5, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.1, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.1, 'rtable_Beer_Name/rtable_Style': 0.1, 'rtable_Beer_Name/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.4, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.1, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.1, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,47.927869608975016,1.0,1.0,271-1410,[0.15661526 0.84338474]
3,"{'ltable_Beer_Name': 0.23809523809523808, 'ltable_Brew_Factory_Name': 0.23809523809523808, 'ltable_Style': 0.23809523809523808, 'ltable_ABV': 0.23809523809523808, 'rtable_Beer_Name': 1.0, 'rtable_Brew_Factory_Name': 0.9523809523809523, 'rtable_Style': 0.5, 'rtable_ABV': 0.5238095238095237}","{'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 1.0, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 1.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 1.0, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.1, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,80.64802982704714,0.0,0.0,3309-716,[9.99347996e-01 6.52003568e-04]
4,"{'ltable_Beer_Name': 0.18181818181818182, 'ltable_Brew_Factory_Name': 0.18181818181818182, 'ltable_Style': 0.18181818181818182, 'ltable_ABV': 0.18181818181818182, 'rtable_Beer_Name': 1.0, 'rtable_Brew_Factory_Name': 0.6181818181818182, 'rtable_Style': 0.5272727272727272, 'rtable_ABV': 0.509090909090909}","{'rtable_Beer_Name': 0.5, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.8, 'rtable_Beer_Name/rtable_Style': 0.6, 'rtable_Beer_Name/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.8, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.8, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.5, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,80.09130943904165,0.0,0.0,1024-37,[0.99762032 0.00237968]
5,"{'ltable_Beer_Name': 0.47826086956521735, 'ltable_Brew_Factory_Name': 0.41304347826086957, 'ltable_Style': 0.2608695652173913, 'ltable_ABV': 0.34782608695652173, 'rtable_Beer_Name': 0.7391304347826086, 'rtable_Brew_Factory_Name': 0.5, 'rtable_Style': 0.41304347826086957, 'rtable_ABV': 0.45652173913043476}","{'ltable_Beer_Name': 0.1, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.3, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.4, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.4, 'rtable_Beer_Name/rtable_Style': 0.2, 'rtable_Beer_Name/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.1, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.4, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,47.209951799944974,1.0,1.0,1780-685,[0.0506534 0.9493466]
6,"{'ltable_Beer_Name': 0.7894736842105263, 'ltable_Brew_Factory_Name': 0.43859649122807015, 'ltable_Style': 0.43859649122807015, 'ltable_ABV': 0.43859649122807015, 'rtable_Beer_Name': 0.38596491228070173, 'rtable_Brew_Factory_Name': 0.38596491228070173, 'rtable_Style': 0.24561403508771928, 'rtable_ABV': 0.24561403508771928}","{'ltable_Beer_Name': 0.5, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.0, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.4, 'rtable_Beer_Name/rtable_Style': 0.0, 'rtable_Beer_Name/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.4, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.4, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.0, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,44.70499144203495,0.0,0.0,1479-1563,[0.99824529 0.00175471]
7,"{'ltable_Beer_Name': 1.0, 'ltable_Brew_Factory_Name': 1.0, 'ltable_Style': 0.5, 'ltable_ABV': 0.5, 'rtable_Beer_Name': 0.25, 'rtable_Brew_Factory_Name': 0.25, 'rtable_Style': 0.25, 'rtable_ABV': 0.25}","{'ltable_Beer_Name': 0.0, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 1.0, 'ltable_Beer_Name/ltable_Style': 0.0, 'ltable_Beer_Name/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style': 0.0, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 1.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 1.0, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.0, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.0}",certa,101.39597125200089,0.0,0.0,2026-1679,[9.99557145e-01 4.42855206e-04]
8,"{'ltable_Beer_Name': 0.5921052631578947, 'ltable_Brew_Factory_Name': 0.40789473684210525, 'ltable_Style': 0.40789473684210525, 'ltable_ABV': 0.3684210526315789, 'rtable_Beer_Name': 0.4605263157894737, 'rtable_Brew_Factory_Name': 0.2763157894736842, 'rtable_Style': 0.2631578947368421, 'rtable_ABV': 0.3026315789473684}","{'ltable_Beer_Name': 0.5, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.3, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.5, 'ltable_Beer_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style': 0.3, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.3, 'rtable_Beer_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.5, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.5, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.5, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.3, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.5, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.4, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,45.58779586490709,0.0,0.0,525-433,[0.99820141 0.00179859]
9,"{'ltable_Beer_Name': 0.626865671641791, 'ltable_Brew_Factory_Name': 0.5373134328358208, 'ltable_Style': 0.373134328358209, 'ltable_ABV': 0.34328358208955223, 'rtable_Beer_Name': 0.44776119402985076, 'rtable_Brew_Factory_Name': 0.2686567164179104, 'rtable_Style': 0.2835820895522388, 'rtable_ABV': 0.26865671641791045}","{'ltable_Beer_Name': 0.6, 'ltable_Brew_Factory_Name': 0.0, 'ltable_Style': 0.0, 'ltable_ABV': 0.0, 'rtable_Beer_Name': 0.3, 'rtable_Brew_Factory_Name': 0.0, 'rtable_Style': 0.0, 'rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name': 0.7, 'ltable_Beer_Name/ltable_Style': 0.2, 'ltable_Beer_Name/ltable_ABV': 0.2, 'ltable_Brew_Factory_Name/ltable_Style': 0.2, 'ltable_Brew_Factory_Name/ltable_ABV': 0.0, 'ltable_Style/ltable_ABV': 0.0, 'rtable_Beer_Name/rtable_Brew_Factory_Name': 0.3, 'rtable_Beer_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style': 0.0, 'rtable_Brew_Factory_Name/rtable_ABV': 0.0, 'rtable_Style/rtable_ABV': 0.0, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_Style': 0.7, 'ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV': 0.7, 'ltable_Beer_Name/ltable_Style/ltable_ABV': 0.1, 'ltable_Brew_Factory_Name/ltable_Style/ltable_ABV': 0.3, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_Style': 0.3, 'rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV': 0.2, 'rtable_Beer_Name/rtable_Style/rtable_ABV': 0.3, 'rtable_Brew_Factory_Name/rtable_Style/rtable_ABV': 0.0}",certa,45.43222225899808,1.0,0.0,4068-2374,[0.08392847 0.91607153]
