,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score,label
0,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber,9.70 %,"{'rtable_ABV', 'rtable_Beer_Name', 'rtable_Style', 'rtable_Brew_Factory_Name'}",0.6213026642799377,
15,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,,0.00484139658510685,
1,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Big Island Brewhaus,American Strong Ale,6.50 %,"('rtable_Beer_Name',)",0.006635160185396671,
2,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Funky Buddha Brewery,American Strong Ale,6.50 %,"('rtable_Brew_Factory_Name',)",0.0045382678508758545,
3,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Amber,6.50 %,"('rtable_Style',)",0.012599979527294636,
4,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,9.70 %,"('rtable_ABV',)",0.0053893839940428725,
5,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Strong Ale,6.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')",0.03857777267694473,
6,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Big Island Brewhaus,American Amber,6.50 %,"('rtable_Beer_Name', 'rtable_Style')",0.03188157454133034,
7,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Big Island Brewhaus,American Strong Ale,9.70 %,"('rtable_Beer_Name', 'rtable_ABV')",0.006839095614850521,
8,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Funky Buddha Brewery,American Amber,6.50 %,"('rtable_Brew_Factory_Name', 'rtable_Style')",0.00981268845498562,
9,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Funky Buddha Brewery,American Strong Ale,9.70 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')",0.00464927451685071,
10,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Big Island Brewhaus,American Amber,9.70 %,"('rtable_Style', 'rtable_ABV')",0.014982293359935284,
11,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber,6.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')",0.622488796710968,
12,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Strong Ale,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')",0.044839989393949516,
13,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Big Island Brewhaus,American Amber,9.70 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')",0.036384638398885734,
14,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Big Island Red Giant Ale,Funky Buddha Brewery,American Amber,9.70 %,"('rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')",0.010238251648843287,
