,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,/ Red Ale,6.50 %,0.6396791338920593,0.3603208661079407,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', '/ Red Ale']",1@54056 0@2155 1@2948,3
1,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American,6.50 %,0.6291124224662781,0.3708875775337219,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'American']",1@54055 0@2155 1@2948,3
2,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red,6.50 %,0.604692816734314,0.39530718326568604,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'American Amber / Red']",1@54061 0@2155 1@2948,3
3,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,6.50 %,0.5975961089134216,0.40240389108657837,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'American Amber / Red Ale']",1@54062 0@2155 1@2948,3
4,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber,6.50 %,0.622488796710968,0.377511203289032,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'American Amber']",1@54057 0@2155 1@2948,3
5,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red,Funky Buddha Brewery,American Amber / Red Ale,6.50 %,0.6206721067428589,0.3793278932571411,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red"", 'Funky Buddha Brewery', 'American Amber / Red Ale']",1@54049 0@2155 1@2948,3
6,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha,American Amber / Red Ale,6.50 %,0.5977780818939209,0.4022219181060791,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha', 'American Amber / Red Ale']",1@54053 0@2155 1@2948,3
7,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,Amber / Red Ale,6.50 %,0.6347403526306152,0.36525964736938477,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'Amber / Red Ale']",1@54054 0@2155 1@2948,3
8,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber /,6.50 %,0.6202511787414551,0.3797488212585449,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'American Amber /']",1@54059 0@2155 1@2948,3
9,,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,Clifford 's Big Red Ale,Funky Buddha Brewery,Red Ale,6.50 %,0.6345061659812927,0.3654938340187073,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Big Island Red Giant Ale', 'Big Island Brewhaus', 'American Strong Ale']","[""Clifford 's Big Red Ale"", 'Funky Buddha Brewery', 'Red Ale']",1@54058 0@2155 1@2948,3
