,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Twisted Stick Amber Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.40 %,1
1,Aqula American Amber Ale,Phillips Brewing Company,American Amber / Red Ale,9.70 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
2,Clifford 's Big Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
3,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Rude Hippo Honey Basil Amber,Scuttlebutt Brewing Co. .,Amber Ale,7.10 %,0
4,Jazz Beer Tarraco Amber,Phillips Brewing Company,American Amber / Red Ale,7.40 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
5,Aqula American Amber Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
6,Red Hopper ( Imperial Red Ale ),Phillips Brewing Company,American Amber / Red Ale,8.20 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
7,Double Dragon Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,8.20 %,Rude Hippo Honey Basil Amber,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
8,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,American Strong Ale,7.10 %,1
9,Honey Basil Amber,Phillips Brewing Company,American Amber / Red Ale,8.70 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1
