,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,sony 5.1 channel black a/v receiver strdg520,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.33392566,0.66607434,"('ltable_name',)",['sony bravia theater black micro system davis50b'],['sony 5.1 channel black a/v receiver strdg520'],0@49089 1@949 0@942,2
1,sony bravia theater black micro system davis50b,"dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish",nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.31464922,0.6853507,"('ltable_description',)",['sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish'],"['dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish']",0@49089 1@949 0@942,2
3,sony bravia theater black micro system davis50b,"signal via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish",nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.3147489,0.68525106,"('ltable_description',)",['sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish'],"['signal via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish']",0@49077 1@949 0@942,2
4,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-hdx275 home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.38853905,0.611461,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],['sony bravia dav-hdx275 home theater system'],1@20045 0@942 1@949,2
5,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,", 5.1 speakers 5",nan,0.31464988,0.6853501,"('rtable_description',)","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii']","[', 5.1 speakers 5']",1@20045 0@942 1@949,2
8,sony bravia theater black micro system davis50b,"via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish",nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.31469738,0.68530256,"('ltable_description',)",['sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish'],"['via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish']",0@49079 1@949 0@942,2
9,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-hdx279wc home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.47342068,0.5265793,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],['sony bravia dav-hdx279wc home theater system'],1@20105 0@942 1@949,2
10,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 6.1 speakers 5 disc ( s ) progressive scan dolby digital",nan,0.31886283,0.68113714,"('rtable_description',)","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii']","['dvd player , 6.1 speakers 5 disc ( s ) progressive scan dolby digital']",1@20105 0@942 1@949,2
14,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 6.1 speakers 5 disc ( s ) progressive scan dolby digital ,",nan,0.31886283,0.68113714,"('rtable_description',)","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii']","['dvd player , 6.1 speakers 5 disc ( s ) progressive scan dolby digital ,']",1@20107 0@942 1@949,2
15,sony 7.1 channel black a/v receiver strdg720,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.3364782,0.66352177,"('ltable_name',)",['sony bravia theater black micro system davis50b'],['sony 7.1 channel black a/v receiver strdg720'],0@52319 1@949 0@942,2
16,sony bravia theater black micro system davis50b,"dolby digital , dolby digital ex , dolby pro logic ii , dolby pro logic iix , dts , dts-es , dts 96/24 , dts neo :6 decoding black finish",nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.3147036,0.68529636,"('ltable_description',)",['sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish'],"['dolby digital , dolby digital ex , dolby pro logic ii , dolby pro logic iix , dts , dts-es , dts 96/24 , dts neo :6 decoding black finish']",0@52319 1@949 0@942,2
19,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,", 6.1 speakers 5 disc ( s ) progressive scan dolby digital , dts , dolby pro logic ii black",nan,0.31186247,0.6881375,"('rtable_description',)","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii']","[', 6.1 speakers 5 disc ( s ) progressive scan dolby digital , dts , dolby pro logic ii black']",1@20080 0@942 1@949,2
20,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.3876319,0.6123681,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],['sony bravia dav-is50 / b home theater system'],1@25499 0@942 1@949,2
21,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex",nan,0.32146895,0.6785311,"('rtable_description',)","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii']","['dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex']",1@25499 0@942 1@949,2
12,sony bravia theater black micro system davis50b,"24p video signal via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish",nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.31474876,0.68525124,"('ltable_description',)",['sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish'],"['24p video signal via hdmi dolby digital , dolby pro logic , dolby pro logic ii , digital cinema sound and dts decoding black finish']",0@49073 1@949 0@942,2
