,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Alexander Keith 's Red Amber Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
1,Good Medicine Strong Red Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
2,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
3,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,6.90 %,0
4,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
5,Red Shedman 's Imperial Amber Ale,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
6,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Pizza Port Rhino Chaser Imperial Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
7,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Iron Horse Fresh Hop Imperial Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
8,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Council Rock Sleeping Lion Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
9,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Granite Falls Bushfire American Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0
