,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.0033166788052767515,0.9966833211947232,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ]'],0@796 1@33113 0@2379,2
73,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Deftones,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.0680646151304245,0.9319353848695755,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Deftones', 'This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .']",0@796 1@33113 0@3500,2
66,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Country , Music",$ 1.29,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.19623500108718872,0.8037649989128113,"('ltable_Genre', 'ltable_CopyRight')","['Dance , Music , Rock', '2012 The Island Def Jam Music Group']","['Country , Music', 'Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .']",0@796 1@33113 0@4635,2
58,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Alan Jackson,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.016128718852996826,0.9838712811470032,"('ltable_Artist_Name', 'ltable_CopyRight')","['Justin Bieber', '2012 The Island Def Jam Music Group']","['Alan Jackson', 'Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .']",0@796 1@33113 0@4635,2
79,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Soundtrack , Music",$ 1.29,This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.1618925780057907,0.8381074219942093,"('ltable_Genre', 'ltable_CopyRight')","['Dance , Music , Rock', '2012 The Island Def Jam Music Group']","['Soundtrack , Music', 'This compilation 2015 Universal Studios and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .']",0@796 1@33113 0@3500,2
105,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Juicy J,Never Say Never - The Remixes,Pop,$ 1.29,2014 TNT Records,3:48,"February 14 , 2011",0.3426445722579956,0.6573554277420044,"('rtable_Artist_Name', 'rtable_CopyRight')","['Justin Bieber', '( C ) 2011 The Island Def Jam Music Group']","['Juicy J', '2014 TNT Records']",1@33113 0@796 1@7623,2
103,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],George Fenton,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2013 Silva Screen Records,3:48,"February 14 , 2011",0.4438839256763458,0.5561160743236542,"('rtable_Artist_Name', 'rtable_CopyRight')","['Justin Bieber', '( C ) 2011 The Island Def Jam Music Group']","['George Fenton', '( C ) 2013 Silva Screen Records']",1@33113 0@796 1@18737,2
99,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Juicy J,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2015 Prophet Entertainment,3:48,"February 14 , 2011",0.469068706035614,0.530931293964386,"('rtable_Artist_Name', 'rtable_CopyRight')","['Justin Bieber', '( C ) 2011 The Island Def Jam Music Group']","['Juicy J', '( C ) 2015 Prophet Entertainment']",1@33113 0@796 1@7665,2
12,,Tempest,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.4506969153881073,0.5493030846118927,"('ltable_Song_Name',)",['As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ]'],['Tempest'],0@796 1@33113 0@1186,2
10,,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,Furious 7 ( Original Motion Picture Soundtrack ) [ Deluxe Version ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011",0.004682773724198341,0.9953172262758017,"('ltable_Album_Name',)",['As Long As You Love Me ( Remixes ) [ feat . Big Sean ]'],['Furious 7 ( Original Motion Picture Soundtrack ) [ Deluxe Version ]'],0@796 1@33113 0@3500,2
