,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
55,,Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,18-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.968730092048645,0.03126990795135498,"('ltable_Song_Name', 'ltable_Released')","['Elevator ( feat . Timbaland )', '17-Mar-08']","['Money Right ( feat . Rick Ross & Brisco )', '18-Mar-08']",0@3616 1@30346 0@3505,2
54,,Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:16,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9709652662277222,0.029034733772277832,"('ltable_Song_Name', 'ltable_Time')","['Elevator ( feat . Timbaland )', '3:55']","['Money Right ( feat . Rick Ross & Brisco )', '3:16']",0@3616 1@30346 0@3505,2
53,,Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9695572257041931,0.030442774295806885,"('ltable_Song_Name', 'ltable_CopyRight')","['Elevator ( feat . Timbaland )', '2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States']","['Money Right ( feat . Rick Ross & Brisco )', '2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States']",0@3616 1@30346 0@3505,2
52,,Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.29,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9735478162765503,0.026452183723449707,"('ltable_Song_Name', 'ltable_Price')","['Elevator ( feat . Timbaland )', '$ 1.99']","['Money Right ( feat . Rick Ross & Brisco )', '$ 1.29']",0@3616 1@30346 0@3505,2
51,,Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Pop , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9726178050041199,0.027382194995880127,"('ltable_Song_Name', 'ltable_Genre')","['Elevator ( feat . Timbaland )', 'Hip-Hop/Rap , Music , Dirty South']","['Money Right ( feat . Rick Ross & Brisco )', 'Hip-Hop/Rap , Music , Pop , Dirty South']",0@3616 1@30346 0@3505,2
27,,Right Hand,Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,31-Jul-15,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.5245839953422546,0.47541600465774536,"('ltable_Song_Name', 'ltable_Released')","['Elevator ( feat . Timbaland )', '17-Mar-08']","['Right Hand', '31-Jul-15']",0@927 1@30346 0@3505,2
26,,Right Hand,Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:10,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.5674670934677124,0.4325329065322876,"('ltable_Song_Name', 'ltable_Time')","['Elevator ( feat . Timbaland )', '3:55']","['Right Hand', '3:10']",0@927 1@30346 0@3505,2
25,,Right Hand,Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2015 Cash Money Records Inc.,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9439540505409241,0.05604594945907593,"('ltable_Song_Name', 'ltable_CopyRight')","['Elevator ( feat . Timbaland )', '2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States']","['Right Hand', '2015 Cash Money Records Inc.']",0@927 1@30346 0@3505,2
24,,Right Hand,Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.29,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.6704404354095459,0.3295595645904541,"('ltable_Song_Name', 'ltable_Price')","['Elevator ( feat . Timbaland )', '$ 1.99']","['Right Hand', '$ 1.29']",0@927 1@30346 0@3505,2
23,,Right Hand,Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008",0.9290700554847717,0.07092994451522827,"('ltable_Song_Name', 'ltable_Genre')","['Elevator ( feat . Timbaland )', 'Hip-Hop/Rap , Music , Dirty South']","['Right Hand', 'Hip-Hop/Rap , Music']",0@927 1@30346 0@3505,2
