,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Aqula American Amber Ale,Phillips Brewing Company,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,7.10 %,0
1,Aqula American Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Island Red Giant Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,1
2,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Barley Wine,4.90 %,0
3,Aqula American Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,7.40 %,0
4,Red Hopper ( Imperial Red Ale ),Bier Kaffee Aqula,American Amber / Red Ale,5.00 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
5,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Altbier,4.90 %,1
6,Aqula American Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,-,1
7,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Jazz Beer Tarraco Amber,Heavy Seas Brewing Company,Amber Ale,6.50 %,1
8,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Brannon_s Deputation Imperial Red Ale,Heavy Seas Brewing Company,Amber Ale,7.10 %,1
9,Aqula American Amber Ale,Tarraco Beer,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,American Strong Ale,4.90 %,1
