,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Red Rock Opie Red Ale,The Pike Brewing Company,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0
1,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,Pizza Port Rhino Chaser Imperial Red Ale,Bristol Brewing Company,Barley Wine,11.25 %,0
2,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,Sawdust City Red Rocket Coffee Spiced Stout,Bristol Brewing Company,Barley Wine,11.25 %,0
3,Batch 200 _ `` Olympus Mons Imperial Red Ale,The Pike Brewing Company,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0
4,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Kern River Brewing,Barley Wine,11.25 %,0
5,Pike Old Bawdy Barley Wine,Rock Bottom Restaurant & Brewery,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0
6,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Bristol Brewing Company,Barley Wine,11.25 %,0
7,Green Flash Hop Head Red Ale,The Pike Brewing Company,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0
8,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,Blue Cat Red Toad Amber Ale,Bristol Brewing Company,Barley Wine,11.25 %,0
9,Red Headed Slut Amber Ale,The Pike Brewing Company,American Barleywine,9.90 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0
