,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score
0,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber /,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"{'ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV'}",0.8347643613815308
15,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,,0.16183564066886902
1,Desert Island Series : American Honey Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name',)",0.9797688
2,Aqula American Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Brew_Factory_Name',)",0.24675626
3,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber /,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Style',)",0.17582017
4,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_ABV',)",0.098246165
5,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')",0.98444736
6,Desert Island Series : American Honey Amber Ale,Bier Kaffee Aqula,American Amber /,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_Style')",0.93732744
7,Desert Island Series : American Honey Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_ABV')",0.978425
8,Aqula American Amber Ale,Heavy Seas Beer,American Amber /,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Brew_Factory_Name', 'ltable_Style')",0.17984912
9,Aqula American Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')",0.23210229999999996
10,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber /,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Style', 'ltable_ABV')",0.09631996
11,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber /,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')",0.95272756
12,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')",0.9824630999999999
13,Desert Island Series : American Honey Amber Ale,Bier Kaffee Aqula,American Amber /,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')",0.89966977
14,Aqula American Amber Ale,Heavy Seas Beer,American Amber /,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')",0.19747002
