,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Sawdust City Brewing Company,Amber Ale,-,1
1,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,8.70 %,Sawdust City Red Rocket Coffee Spiced Stout,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
2,Real McCoy Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,4.90 %,1
3,Twisted Stick Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,18th Street Brewery,Amber Ale,4.90 %,1
4,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Sawdust City Brewing Company,Altbier,4.90 %,0
5,Real McCoy Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Altbier,4.90 %,1
6,Twisted Stick Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.50 %,1
7,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,9.70 %,Sick N Twisted Pleasure Victim Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,1
8,Aqula American Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Mammoth Brewing Company,Amber Ale,4.90 %,1
9,Twisted Stick Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Altbier,4.90 %,1
