,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,apple ipod nano gray armband mb769ga,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0027506693731993437,0.9972493306268007,"('ltable_name',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t'],['apple ipod nano gray armband mb769ga'],0@643 1@636 0@83603,2
1,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,ipod sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0004501617222558707,0.9995498382777441,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['ipod sport kit receiver gray finish'],0@643 1@636 0@83603,2
3,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,+ ipod sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.00043243562686257064,0.9995675643731374,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['+ ipod sport kit receiver gray finish'],0@643 1@636 0@83601,2
5,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,for the nike + ipod sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0004697950789704919,0.9995302049210295,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['for the nike + ipod sport kit receiver gray finish'],0@643 1@636 0@83595,2
7,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.00055912253446877,0.9994408774655312,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['gray finish'],0@643 1@636 0@83611,2
9,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0005174159305170178,0.999482584069483,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['sport kit receiver gray finish'],0@643 1@636 0@83605,2
11,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0008258546004071832,0.9991741453995928,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['finish'],0@643 1@636 0@83613,2
13,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,nike + ipod sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.00037868210347369313,0.9996213178965263,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['nike + ipod sport kit receiver gray finish'],0@643 1@636 0@83599,2
15,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,the nike + ipod sport kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.00044853019062429667,0.9995514698093757,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['the nike + ipod sport kit receiver gray finish'],0@643 1@636 0@83597,2
17,,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,kit receiver gray finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.0005078768590465188,0.9994921231409535,"('ltable_description',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish'],['kit receiver gray finish'],0@643 1@636 0@83607,2
