,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.2022222876548767,0.7977777123451233,"('ltable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Amber'],0@39245 1@685 0@1780,2
1,Jazz,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.13832879066467285,0.8616712093353271,"('ltable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Jazz'],0@39242 1@685 0@1780,2
2,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Denver Beer,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.29398012161254883,0.7060198783874512,"('rtable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Denver Beer'],1@23235 0@1780 1@685,2
5,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.4139159321784973,0.5860840678215027,"('rtable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Jazz Beer Tarraco'],1@14627 0@1780 1@685,2
6,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.3141939043998718,0.6858060956001282,"('rtable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Jazz Beer'],1@14625 0@1780 1@685,2
7,Jazz Beer,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.3163861036300659,0.6836138963699341,"('ltable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Jazz Beer'],0@39244 1@685 0@1780,2
8,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Denver Beer 545 Summit Sunrise,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.42640548944473267,0.5735945105552673,"('rtable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Denver Beer 545 Summit Sunrise'],1@23240 0@1780 1@685,2
10,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.44903475046157837,0.5509652495384216,"('rtable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Beer Tarraco Amber'],1@14622 0@1780 1@685,2
4,Jazz Beer Tarraco,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.4164885878562927,0.5835114121437073,"('ltable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Jazz Beer Tarraco'],0@39246 1@685 0@1780,2
11,Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.4415917992591858,0.5584082007408142,"('ltable_Beer_Name',)",['Jazz Beer Tarraco Amber'],['Beer Tarraco Amber'],0@39241 1@685 0@1780,2
