,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Real McCoy Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,American Strong Ale,-,0
1,Jazz Beer Tarraco Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Rude Hippo Honey Basil Amber,Figure Eight Brewing,Barley Wine,-,1
2,Rocket City Red,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,7.10 %,1
3,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,5.00 %,Jazz Beer Tarraco Amber,Figure Eight Brewing,Barley Wine,-,0
4,Jazz Beer Tarraco Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Sawdust City Red Rocket Coffee Spiced Stout,Figure Eight Brewing,Barley Wine,-,1
5,Red Hopper ( Imperial Red Ale ),Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,1
6,Red Hopper ( Imperial Red Ale ),Mammoth Brewing Company,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,1
7,Jazz Beer Tarraco Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Scuttlebutt Mateo Loco Imperial Red Ale,Figure Eight Brewing,Barley Wine,-,1
8,Jazz Beer Tarraco Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,6.90 %,1
9,Double Dragon Imperial Red Ale,Funky Buddha Brewery,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,1
