,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Aqula American Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Sick N Twisted Pleasure Victim Amber Ale,18th Street Brewery,Amber Ale,7.40 %,0
1,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Spice/Herb/Vegetable,7.40 %,1
2,Clifford 's Big Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Brannon_s Pub and Brewery,Amber Ale,7.40 %,1
3,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,American Strong Ale,7.40 %,0
4,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6.90 %,Sawdust City Red Rocket Coffee Spiced Stout,18th Street Brewery,Amber Ale,7.40 %,0
5,Double Dragon Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Amber Ale,7.40 %,1
6,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Figure Eight Bourbon Barrel Aged Jumbo Love,18th Street Brewery,Amber Ale,8.79 %,0
7,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Sawdust City Red Rocket Coffee Spiced Stout,18th Street Brewery,Amber Ale,7.40 %,0
8,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6.90 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,4.90 %,1
9,Double Dragon Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,1
