,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,label
0,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
1,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
2,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,canon dc310 digital camcorder 2694b001,toshiba sd-p71s 7 ' portable dvd player,119.36,0
3,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,panasonic kx-tg9342t cordless phone,toshiba sd-p71s 7 ' portable dvd player,119.36,0
4,panasonic black 8.5 ' portable dvd player dvdls83,canon silver powershot digital camera sd880is 10 megapixel 4x optical zoom optical image stabilizer 3.0 ' purecolor lcd ii digic 4 image processor face detection self-timer red-eye correction 19 shooting modes print/share button silver finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
5,panasonic black 8.5 ' portable dvd player dvdls83,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
6,sony cyber-shot black digital camera dsch10b,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
7,panasonic black 8.5 ' portable dvd player dvdls83,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,0
8,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,"canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii",119.36,0
9,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,olympus fe-360 digital camera pink 226540,toshiba sd-p71s 7 ' portable dvd player,119.36,0
