,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
57,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 0.99,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.63447,0.36553007,"('rtable_Price',)",['$ 1.29'],['$ 0.99'],1@53030 0@271 1@37362,2
56,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],"Electronica , Dance & Electronic , Trance",$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.74264944,0.25735056,"('rtable_Genre',)",['Alternative Rock'],"['Electronica , Dance & Electronic , Trance']",1@53030 0@271 1@37362,2
55,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,Provider,Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.63899845,0.36100152,"('rtable_Album_Name',)",['VHS [ Explicit ]'],['Provider'],1@53030 0@271 1@37362,2
54,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),Marco V,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.62140864,0.37859133,"('rtable_Artist_Name',)",['X Ambassadors'],['Marco V'],1@53030 0@271 1@37362,2
52,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,nan,0.64015466,0.3598453,"('rtable_Released',)","['June 30 , 2015']",[nan],1@53030 0@271 1@37342,2
51,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,3:37,"June 30 , 2015",0.63447315,0.36552685,"('rtable_Time',)",['0:19'],['3:37'],1@53030 0@271 1@37342,2
58,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( c ) 2011 TAO Recordings,0:19,"June 30 , 2015",0.63723737,0.3627626,"('rtable_CopyRight',)",['( C ) 2015 KIDinaKORNER/Interscope Records'],['( c ) 2011 TAO Recordings'],1@53030 0@271 1@37362,2
50,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( c ) 2009 Be Yourself Catalogue B.V.,0:19,"June 30 , 2015",0.63873,0.36126998,"('rtable_CopyRight',)",['( C ) 2015 KIDinaKORNER/Interscope Records'],['( c ) 2009 Be Yourself Catalogue B.V.'],1@53030 0@271 1@37342,2
48,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,VHS [ Explicit ],"Electronica , Dance & Electronic , Trance , House",$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.7864985,0.21350154,"('rtable_Genre',)",['Alternative Rock'],"['Electronica , Dance & Electronic , Trance , House']",1@53030 0@271 1@37342,2
47,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Moving Day ( Interlude ),X Ambassadors,Propaganda,Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:19,"June 30 , 2015",0.63206667,0.36793333,"('rtable_Album_Name',)",['VHS [ Explicit ]'],['Propaganda'],1@53030 0@271 1@37342,2
