,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,griffin iphone smarttalk 3016smrtlkb,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.002309220377355814,0.9976907796226442,"('ltable_name',)",['sony bravia theater black micro system davis50b'],['griffin iphone smarttalk 3016smrtlkb'],0@942 1@949 0@68269,2
25,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",21.49,0.46133172512054443,0.5386682748794556,"('rtable_price',)",[nan],[21.49],1@949 0@942 1@2327,2
24,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,omnimount tv top shelf mount,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.05463464558124542,0.9453653544187546,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],['omnimount tv top shelf mount'],1@949 0@942 1@2327,2
2,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,19.0,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.2538949251174927,0.7461050748825073,"('ltable_price',)",[nan],[19.0],0@942 1@949 0@68269,2
9,,griffin iphone smarttalk,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.015005962923169136,0.9849940370768309,"('ltable_name',)",['sony bravia theater black micro system davis50b'],['griffin iphone smarttalk'],0@942 1@949 0@68266,2
12,,griffin,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.0352884866297245,0.9647115133702755,"('ltable_name',)",['sony bravia theater black micro system davis50b'],['griffin'],0@942 1@949 0@68262,2
15,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,samsung ln22a650 22 ' lcd tv,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.003607181366533041,0.996392818633467,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],"[""samsung ln22a650 22 ' lcd tv""]",1@949 0@942 1@18155,2
17,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",458.0,0.4783342778682709,0.5216657221317291,"('rtable_price',)",[nan],[458.0],1@949 0@942 1@18155,2
20,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,canon nb-4l rechargeable camera,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0.010047383606433868,0.9899526163935661,"('rtable_name',)",['sony bravia dav-is50 / b home theater system'],['canon nb-4l rechargeable camera'],1@949 0@942 1@2341,2
21,,sony bravia theater black micro system davis50b,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sony bravia dav-is50 / b home theater system,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",36.89,0.45615869760513306,0.5438413023948669,"('rtable_price',)",[nan],[36.89],1@949 0@942 1@2341,2
