,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Mammoth Real McCoy Amber Ale,Sick N Twisted Brewing Company,Amber Ale,7.40 %,0
1,Honey Basil Amber,Bier Kaffee Aqula,American Amber / Red Ale,7.40 %,Brannon_s Deputation Imperial Red Ale,18th Street Brewery,Amber Ale,7.40 %,1
2,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,18th Street Brewery,Amber Ale,7.40 %,0
3,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Big Island Red Giant Ale,18th Street Brewery,Amber Ale,7.40 %,0
4,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Scuttlebutt Brewing Co. .,Barley Wine,7.40 %,1
5,Honey Basil Amber,Funky Buddha Brewery,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Scuttlebutt Brewing Co. .,Amber Ale,7.40 %,0
6,Honey Basil Amber,Funky Buddha Brewery,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Spice/Herb/Vegetable,7.40 %,0
7,Twisted Stick Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Scuttlebutt Mateo Loco Imperial Red Ale,18th Street Brewery,Amber Ale,7.40 %,1
8,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Mammoth Real McCoy Amber Ale,18th Street Brewery,Spice/Herb/Vegetable,7.40 %,0
9,Honey Basil Amber,Funky Buddha Brewery,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.10 %,0
