,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score,label
0,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust,Spice/Herb/Vegetable,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"{'ltable_Beer_Name', 'ltable_Style', 'ltable_ABV', 'ltable_Brew_Factory_Name'}",0.5678297281265259,
15,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,,0.15802396833896637,
1,Sawdust City Red Rocket Coffee Spiced Stout,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name',)",0.3993278741836548,
2,Rocket City Red,Sawdust,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",0.5853855609893799,
3,Rocket City Red,Straight To Ale,Spice/Herb/Vegetable,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Style',)",0.4945018589496613,
4,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_ABV',)",0.3799699246883392,
5,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')",0.529434084892273,
6,Sawdust City Red Rocket Coffee Spiced Stout,Straight To Ale,Spice/Herb/Vegetable,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Style')",0.4713402986526489,
7,Sawdust City Red Rocket Coffee Spiced Stout,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_ABV')",0.4576525092124939,
8,Rocket City Red,Sawdust,Spice/Herb/Vegetable,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style')",0.6317998170852661,
9,Rocket City Red,Sawdust,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')",0.5908232927322388,
10,Rocket City Red,Straight To Ale,Spice/Herb/Vegetable,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Style', 'ltable_ABV')",0.4879222512245178,
11,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust,Spice/Herb/Vegetable,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')",0.5532614588737488,
12,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')",0.552958071231842,
13,Sawdust City Red Rocket Coffee Spiced Stout,Straight To Ale,Spice/Herb/Vegetable,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')",0.5156154632568359,
14,Rocket City Red,Sawdust,Spice/Herb/Vegetable,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')",0.6287665367126465,
