,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Brannon_s Deputation Imperial Red Ale,18th Street Brewery,Amber Ale,4.90 %,0
1,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Sick N Twisted Brewing Company,Amber Ale,5.20 %,0
2,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Sick N Twisted Pleasure Victim Amber Ale,18th Street Brewery,Amber Ale,-,0
3,Aqula American Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,American Strong Ale,7.40 %,0
4,Bulleit Bourbon Barrel Aged G'Knight,Rude Hippo Brewing Company,American Amber / Red Ale,9.70 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
5,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Spice/Herb/Vegetable,5.50 %,1
6,Bulleit Bourbon Barrel Aged G'Knight,Phillips Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
7,Red Hopper ( Imperial Red Ale ),Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
8,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Mammoth Real McCoy Amber Ale,18th Street Brewery,Amber Ale,7.40 %,0
9,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Figure Eight Bourbon Barrel Aged Jumbo Love,18th Street Brewery,Barley Wine,7.40 %,0
