,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Rocket City Red,Straight To Ale,American Amber / Red Ale,7.40 %,Jazz Beer Tarraco Amber,Figure Eight Brewing,Spice/Herb/Vegetable,7.40 %,1
1,Rocket City Red,Straight To Ale,American Amber / Red Ale,8.70 %,Jazz Beer Tarraco Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,8.79 %,0
2,Rocket City Red,Rude Hippo Brewing Company,American Amber / Red Ale,8.20 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Spice/Herb/Vegetable,5.20 %,0
3,Rocket City Red,Straight To Ale,American Amber / Red Ale,8.70 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,8.79 %,0
4,Rocket City Red,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Sawdust City Red Rocket Coffee Spiced Stout,18th Street Brewery,American Strong Ale,4.50 %,0
5,Rocket City Red,Mammoth Brewing Company,American Amber / Red Ale,7.40 %,Jazz Beer Tarraco Amber,18th Street Brewery,American Strong Ale,7.40 %,1
6,Rocket City Red,Straight To Ale,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Spice/Herb/Vegetable,5.50 %,1
7,Rocket City Red,Mammoth Brewing Company,American Amber / Red Ale,7.40 %,Jazz Beer Tarraco Amber,18th Street Brewery,Spice/Herb/Vegetable,7.40 %,1
8,Rocket City Red,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Sawdust City Red Rocket Coffee Spiced Stout,18th Street Brewery,Spice/Herb/Vegetable,4.50 %,1
9,Rocket City Red,Phillips Brewing Company,American Amber / Red Ale,8.70 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,4.50 %,0
