,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Amber Waves Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
1,Blue Bridge Amber Dry Hopped,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
2,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Capitol City Brewing Company,Amber Ale,5.60 %,0
3,Big Red Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
4,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,Capitol City Brewing Company,Amber Ale,5.60 %,0
5,Tongue Buckler ( Bourbon Barrel Aged ),Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
6,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
7,Smuttynose Kindest Find Imperial Red Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
8,Red Shedman 's Imperial Amber Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
9,Twisted Stick Amber Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
