,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
26,,Release The Hounds,Bull & Bush Brewery,American Amber / Red Ale,%,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.21026122570037842,0.7897387742996216,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Arrow Point Amber', 'Bainbridge Island Brewing Company', '5.40 %']","['Release The Hounds', 'Bull & Bush Brewery', '%']",0@2558 1@1284 0@84651,3
33,,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Les Brasseurs du,Les Brasseurs du Hameau,Spice/Herb/Vegetable,5.40 %,0.3638913035392761,0.6361086964607239,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company', 'Amber Ale']","['Les Brasseurs du', 'Les Brasseurs du Hameau', 'Spice/Herb/Vegetable']",1@1284 0@2558 1@35539,3
32,,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Les,Les Brasseurs du Hameau,Spice/Herb/Vegetable,5.40 %,0.30897223949432373,0.6910277605056763,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company', 'Amber Ale']","['Les', 'Les Brasseurs du Hameau', 'Spice/Herb/Vegetable']",1@1284 0@2558 1@35535,3
29,,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Hermit Thrush Brewery,Barley Wine,5.40 %,0.03159510716795921,0.9684048928320408,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company', 'Amber Ale']","['Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine', 'Hermit Thrush Brewery', 'Barley Wine']",1@1284 0@2558 1@45694,3
27,,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Les Brasseurs du Hameau Rhumantony,Les,Spice/Herb/Vegetable,5.40 %,0.23543554544448853,0.7645644545555115,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company', 'Amber Ale']","['Les Brasseurs du Hameau Rhumantony', 'Les', 'Spice/Herb/Vegetable']",1@1284 0@2558 1@35543,3
17,,Release The Hounds,Bull & Bush Brewery,American Amber / Red Ale,10.50 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.050901055335998535,0.9490989446640015,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Arrow Point Amber', 'Bainbridge Island Brewing Company', '5.40 %']","['Release The Hounds', 'Bull & Bush Brewery', '10.50 %']",0@2558 1@1284 0@84650,3
21,,Fisherman 's Tea Party,Cape Ann,American Amber / Red Ale,9.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.12224037945270538,0.8777596205472946,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Arrow Point Amber', 'Bainbridge Island Brewing Company', '5.40 %']","[""Fisherman 's Tea Party"", 'Cape Ann', '9.00 %']",0@2558 1@1284 0@84662,3
19,,Release The Hounds,Bush Brewery,American Amber / Red Ale,10.50 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.39363640546798706,0.6063635945320129,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Arrow Point Amber', 'Bainbridge Island Brewing Company', '5.40 %']","['Release The Hounds', 'Bush Brewery', '10.50 %']",0@2558 1@1284 0@84645,3
34,,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Hameau Rhumantony,Les Brasseurs du Hameau,Spice/Herb/Vegetable,5.40 %,0.3272794485092163,0.6727205514907837,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Bainbridge Island Arrow Point Amber', 'Bainbridge Island Brewing Company', 'Amber Ale']","['Hameau Rhumantony', 'Les Brasseurs du Hameau', 'Spice/Herb/Vegetable']",1@1284 0@2558 1@35538,3
24,,Notting Hill Red,Moncada Brewery Ltd,American Amber / Red Ale,6.00 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.14557209610939026,0.8544279038906097,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Arrow Point Amber', 'Bainbridge Island Brewing Company', '5.40 %']","['Notting Hill Red', 'Moncada Brewery Ltd', '6.00 %']",0@2558 1@1284 0@63714,3
