,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Pizza Port Rhino Chaser Imperial Red Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
1,Red Shedman 's Imperial Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
2,Batch 200 _ `` Olympus Mons Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
3,Three Beavers Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
4,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,American Strong Ale,5.40 %,0
5,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Granite Falls Bushfire American Red Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
6,Three Sheets Barleywine ( Syrah Barrel Aged ),Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
7,Brass Ale Honey Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
8,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Blue Cat Red Toad Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
9,Double Dragon Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0
