,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Jazz Beer Tarraco Amber,Sawdust City Brewing Company,Barley Wine,5.20 %,1
1,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,5.20 %,1
2,Rocket City Red,Bier Kaffee Aqula,American Amber / Red Ale,5.00 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1
3,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Mammoth Real McCoy Amber Ale,Sick N Twisted Brewing Company,Spice/Herb/Vegetable,5.20 %,0
4,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1
5,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,American Strong Ale,5.20 %,1
6,Real McCoy Amber Ale,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1
7,Rocket City Red,Straight To Ale,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1
8,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Sawdust City Brewing Company,American Strong Ale,5.20 %,1
9,Jazz Beer Tarraco Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0
