,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,,sony mrw62e/s1/181 17-in-1 external usb memory card reader mrw62es1181,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0013652535853907466,0.9986347464146093,"('ltable_name',)",['olympus black 10 megapixels digital camera sp565uz'],['sony mrw62e/s1/181 17-in-1 external usb memory card reader mrw62es1181'],0@994 1@336 0@18681,2
1,,olympus black 10 megapixels digital camera sp565uz,supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0012096432037651539,0.9987903567962348,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['supports 17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18681,2
3,,olympus black 10 megapixels digital camera sp565uz,with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0018199898768216372,0.9981800101231784,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18695,2
5,,olympus black 10 megapixels digital camera sp565uz,formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0010944866808131337,0.9989055133191869,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18691,2
7,,olympus black 10 megapixels digital camera sp565uz,works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0014059731038287282,0.9985940268961713,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18693,2
9,,olympus black 10 megapixels digital camera sp565uz,different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0009662557276897132,0.9990337442723103,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18685,2
11,,olympus black 10 megapixels digital camera sp565uz,macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0012316328939050436,0.998768367106095,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18697,2
13,,olympus black 10 megapixels digital camera sp565uz,17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0013431776314973831,0.9986568223685026,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['17 different memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18683,2
15,,olympus black 10 megapixels digital camera sp565uz,card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0009753178455866873,0.9990246821544133,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18689,2
17,,olympus black 10 megapixels digital camera sp565uz,memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish,nan,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,nan,0.0009545511566102505,0.9990454488433897,"('ltable_description',)",['olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish'],['memory card formats works with macintosh and windows computers easy hi-speed usb 2.0 connection black finish'],0@994 1@336 0@18687,2
