,explanation,summary,type,latency,match,label,row,prediction
0,"{'ltable_name': 0.6153846153846153, 'ltable_description': 0.3846153846153846, 'ltable_price': 0.3846153846153846, 'rtable_name': 0.641025641025641, 'rtable_description': 0.3846153846153846, 'rtable_price': 0.3846153846153846}","{'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name': 0.4, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0}",certa,26.14528736192733,0.0,0.0,445-910,[0.94196874 0.05803126]
1,"{'ltable_name': 0.25, 'ltable_description': 0.25, 'ltable_price': 0.25, 'rtable_name': 1.0, 'rtable_description': 0.5, 'rtable_price': 0.5}","{'rtable_name': 1.0, 'rtable_description': 0.0, 'rtable_price': 0.0, 'rtable_name/rtable_description': 1.0, 'rtable_name/rtable_price': 1.0, 'rtable_description/rtable_price': 0.0}",certa,36.95241769799031,0.0,0.0,719-812,[0.91537622 0.08462378]
2,"{'ltable_name': 0.8333333333333333, 'ltable_description': 0.5, 'ltable_price': 0.5, 'rtable_name': 0.5, 'rtable_description': 0.5, 'rtable_price': 0.3333333333333333}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.0, 'rtable_description/rtable_price': 0.0}",certa,24.067096572951414,0.0,0.0,550-664,[0.95565308 0.04434692]
3,"{'ltable_name': 0.44444444444444453, 'ltable_description': 0.33333333333333337, 'ltable_price': 0.33333333333333337, 'rtable_name': 0.8333333333333333, 'rtable_description': 0.5, 'rtable_price': 0.4444444444444444}","{'rtable_name': 0.6, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name': 0.2, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name/rtable_description': 0.8, 'rtable_name/rtable_price': 0.6, 'rtable_description/rtable_price': 0.0, 'ltable_name/ltable_description': 0.2, 'ltable_name/ltable_price': 0.2, 'ltable_description/ltable_price': 0.0}",certa,42.93388525105547,0.0,1.0,942-949,[0.94587847 0.05412153]
4,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,34.04423470189795,0.0,0.0,643-636,[0.95978661 0.04021339]
5,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,26.391805854043923,0.0,0.0,495-578,[0.95131665 0.04868335]
6,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,27.31050925294403,0.0,0.0,994-336,[0.94929803 0.05070197]
7,"{'ltable_name': 0.7000000000000001, 'ltable_description': 0.4, 'ltable_price': 0.4, 'rtable_name': 0.5499999999999999, 'rtable_description': 0.35, 'rtable_price': 0.35}","{'ltable_name': 0.6, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.4, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.6, 'ltable_name/ltable_price': 0.6, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.4, 'rtable_name/rtable_price': 0.4, 'rtable_description/rtable_price': 0.0}",certa,24.489835761953145,0.0,0.0,808-127,[0.95074893 0.04925107]
8,"{'ltable_name': 0.7000000000000001, 'ltable_description': 0.4, 'ltable_price': 0.4, 'rtable_name': 0.5499999999999999, 'rtable_description': 0.35, 'rtable_price': 0.35}","{'ltable_name': 0.6, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.4, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.6, 'ltable_name/ltable_price': 0.6, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.4, 'rtable_name/rtable_price': 0.4, 'rtable_description/rtable_price': 0.0}",certa,24.784510140074417,0.0,0.0,987-980,[0.94621041 0.05378959]
9,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,24.85592566395644,0.0,0.0,332-237,[0.95486738 0.04513262]
