,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
16,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5 %,0.2569368,0.74306315,"('rtable_ABV',)",['5.20 %'],['5 %'],1@71 0@1024 1@37,2
15,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Amber Ale,5.20 %,0.04490963,0.95509034,"('rtable_Style',)",['Spice/Herb/Vegetable'],['Amber Ale'],1@71 0@1024 1@37,2
13,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Franklins Rubber Chicken Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.10891709,0.8910829,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Franklins Rubber Chicken Red Ale'],1@71 0@1024 1@37,2
12,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,-,0.17508295,0.8249171,"('rtable_ABV',)",['5.20 %'],['-'],1@213 0@1024 1@37,2
9,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Americas American Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.021137198,0.9788629,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Americas American Red Ale'],1@213 0@1024 1@37,2
5,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Nausta Inland Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.035606124,0.9643938,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Nausta Inland Red Ale'],1@2144 0@1024 1@37,2
4,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.70 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.24892569,0.7510743,"('ltable_ABV',)",['5.00 %'],['5.70 %'],0@2973 1@37 0@1024,2
3,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.24582577,0.7541742,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0@2973 1@37 0@1024,2
2,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.26224256,0.7377575,"('ltable_ABV',)",['5.00 %'],['5.20 %'],0@1008 1@37 0@1024,2
20,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Seminar Howler American Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.054640662,0.9453593,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Seminar Howler American Red Ale'],1@595 0@1024 1@37,2
33,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.2458257,0.7541743,"('rtable_ABV',)",['5.20 %'],['5.20 %'],1@1292 0@1024 1@37,2
30,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Cassel Lil _ Red Steamer Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.06957213,0.93042785,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Cassel Lil _ Red Steamer Red Ale'],1@1292 0@1024 1@37,2
23,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.10 %,0.24590768,0.7540924,"('rtable_ABV',)",['5.20 %'],['5.10 %'],1@595 0@1024 1@37,2
