,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Island Red Giant Ale,Mammoth Brewing Company,Altbier,5.20 %,1
1,Red Hopper ( Imperial Red Ale ),Funky Buddha Brewery,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1
2,Real McCoy Amber Ale,Straight To Ale,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,7.40 %,1
3,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Jazz Beer Tarraco Amber,Brannon_s Pub and Brewery,Altbier,4.50 %,1
4,Aqula American Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Island Red Giant Ale,Mammoth Brewing Company,Altbier,4.50 %,1
5,Real McCoy Amber Ale,Black Acre Brewing Co. .,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Scuttlebutt Brewing Co. .,Altbier,4.50 %,1
6,Real McCoy Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Spice/Herb/Vegetable,4.50 %,0
7,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Mammoth Brewing Company,Altbier,8.79 %,1
8,Real McCoy Amber Ale,Tarraco Beer,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Scuttlebutt Brewing Co. .,Altbier,4.50 %,1
9,Real McCoy Amber Ale,Tarraco Beer,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,7.10 %,1
