,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,label
0,canon black rechargeable battery 9612a001,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,nan,0
1,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,canon canon cb-2lw battery charger 0763b001,nan,nan,0
2,sony bravia theater black micro system davis50b,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,canon canon cb-2lw battery charger 0763b001,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,nan,1
3,canon black rechargeable battery 9612a001,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,sony handycam dcr-sr85 digital camcorder dcrsr85,toshiba sd-p71s 7 ' portable dvd player,nan,1
4,canon black rechargeable battery 9612a001,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,toshiba sd-p71s 7 ' portable dvd player,nan,0
5,canon black rechargeable battery 9612a001,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,nan,canon canon cb-2lw battery charger 0763b001,xs fm transmitter 6 lines lcd,nan,0
6,canon black rechargeable battery 9612a001,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,canon canon cb-2lw battery charger 0763b001,nan,nan,1
7,sony cyber-shot black digital camera dsch10b,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,canon canon cb-2lw battery charger 0763b001,"1 x phone line ( s ) black , metallic",nan,1
8,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",nan,canon canon cb-2lw battery charger 0763b001,toshiba sd-p71s 7 ' portable dvd player,nan,1
9,canon black rechargeable battery 9612a001,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,canon canon cb-2lw battery charger 0763b001,xs fm transmitter 6 lines lcd,nan,0
