,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Heavy Seas Brewing Company,Spice/Herb/Vegetable,6.90 %,0
1,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Figure Eight Brewing,Barley Wine,6.90 %,0
2,Honey Basil Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Figure Eight Brewing,Amber Ale,6.90 %,1
3,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Mammoth Brewing Company,Amber Ale,6.90 %,0
4,Rocket City Red,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1
5,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Big Island Brewhaus,Spice/Herb/Vegetable,6.90 %,0
6,Jazz Beer Tarraco Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Heavy Seas Brewing Company,Amber Ale,6.90 %,0
7,Jazz Beer Tarraco Amber,Straight To Ale,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Figure Eight Brewing,Amber Ale,6.90 %,0
8,Honey Basil Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1
9,Jazz Beer Tarraco Amber,Black Acre Brewing Co. .,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Mammoth Brewing Company,Amber Ale,6.90 %,0
