,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
27,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0.027834002,0.97216594,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['Amber Ale', '4.50 %']",1@19844 0@271 1@1410,2
25,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Amber Ale,Maku Brewing,Altbier,4.50 %,0.28276017,0.7172398,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Amber Ale', 'Maku Brewing']",1@19844 0@271 1@1410,2
24,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Red Ale,Mammoth Brewing Company,Altbier,4.50 %,0.01192248,0.9880775,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['Red Ale', '4.50 %']",1@14430 0@271 1@1410,2
22,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Red Ale,Marshall Wharf Brewing Company,Altbier,4.50 %,0.013084528,0.98691547,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Red Ale', 'Marshall Wharf Brewing Company']",1@14430 0@271 1@1410,2
19,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Ale,Chicago Brewing Company,Altbier,4.50 %,0.04444418,0.95555586,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Ale', 'Chicago Brewing Company']",1@49834 0@271 1@1410,2
18,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0.025059158,0.9749408,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['McCoy Amber Ale', '4.50 %']",1@26956 0@271 1@1410,2
16,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0.025059158,0.9749408,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['McCoy Amber Ale', 'Mammoth Brewing Company']",1@26956 0@271 1@1410,2
15,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Ranga Premium Red Ale,Mammoth Brewing Company,Altbier,4.50 %,0.050728906,0.9492711,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['Ranga Premium Red Ale', '4.50 %']",1@9430 0@271 1@1410,2
21,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Ale,Mammoth Brewing Company,Altbier,4.50 %,0.10495234,0.89504766,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['Ale', '4.50 %']",1@49834 0@271 1@1410,2
12,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Reck Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0.44825035,0.5517496,"('rtable_Beer_Name', 'rtable_ABV')","['Mammoth Real McCoy Amber Ale', '4.50 %']","['Reck Amber Ale', '4.50 %']",1@49830 0@271 1@1410,2
13,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Ranga Premium Red Ale,Brewing Company,Altbier,4.50 %,0.006511644,0.9934883,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Ranga Premium Red Ale', 'Brewing Company']",1@9430 0@271 1@1410,2
11,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Reck Amber Ale,Chicago Brewing Company,Altbier,4.50 %,0.36204982,0.6379501,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Mammoth Real McCoy Amber Ale', 'Mammoth Brewing Company']","['Reck Amber Ale', 'Chicago Brewing Company']",1@49830 0@271 1@1410,2
