,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Red Hopper ( Imperial Red Ale ),Mammoth Brewing Company,American Amber / Red Ale,6.90 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1
1,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,8.20 %,Rude Hippo Honey Basil Amber,Mammoth Brewing Company,Altbier,4.50 %,1
2,Real McCoy Amber Ale,Funky Buddha Brewery,American Amber / Red Ale,6.20 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1
3,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Sawdust City Red Rocket Coffee Spiced Stout,Mammoth Brewing Company,Spice/Herb/Vegetable,4.50 %,1
4,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Heavy Seas Brewing Company,Altbier,4.50 %,1
5,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Brannon_s Deputation Imperial Red Ale,Mammoth Brewing Company,Amber Ale,4.50 %,0
6,Real McCoy Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1
7,Real McCoy Amber Ale,Funky Buddha Brewery,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Barley Wine,4.50 %,1
8,Real McCoy Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
9,Aqula American Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
