,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score,label
0,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Valley Brewing Co. .,Amber Ale,3.90 %,"{'rtable_ABV', 'rtable_Beer_Name', 'rtable_Style', 'rtable_Brew_Factory_Name'}",0.7363463044166565,
15,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,,0.012094368226826191,
1,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,"('rtable_Beer_Name',)",0.7466386556625366,
2,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Valley Brewing Co. .,Amber Ale,5.50 %,"('rtable_Brew_Factory_Name',)",0.018946776166558262,
3,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,"('rtable_Style',)",0.022828642278909683,
4,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,3.90 %,"('rtable_ABV',)",0.02257219329476356,
5,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Valley Brewing Co. .,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')",0.7692162394523621,
6,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Style')",0.7565667033195496,
7,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Sick N Twisted Brewing Company,Amber Ale,3.90 %,"('rtable_Beer_Name', 'rtable_ABV')",0.7585854530334473,
8,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Valley Brewing Co. .,Amber Ale,5.50 %,"('rtable_Brew_Factory_Name', 'rtable_Style')",0.027377724647521973,
9,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Valley Brewing Co. .,Amber Ale,3.90 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')",0.02702099643647671,
10,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,3.90 %,"('rtable_Style', 'rtable_ABV')",0.030455878004431725,
11,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Valley Brewing Co. .,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')",0.7692162394523621,
12,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Valley Brewing Co. .,Amber Ale,3.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')",0.7702641487121582,
13,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Portneuf Valley Twisted Stick Amber Ale,Sick N Twisted Brewing Company,Amber Ale,3.90 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')",0.7585854530334473,
14,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Valley Brewing Co. .,Amber Ale,3.90 %,"('rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')",0.02702099643647671,
