,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Real McCoy Amber Ale,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,7.40 %,0
1,Aqula American Amber Ale,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,5.50 %,0
2,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Figure Eight Brewing,American Strong Ale,7.10 %,1
3,Aqula American Amber Ale,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
4,Bulleit Bourbon Barrel Aged G'Knight,Black Acre Brewing Co. .,American Amber / Red Ale,-,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
5,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Mammoth Real McCoy Amber Ale,Brannon_s Pub and Brewery,American Strong Ale,4.50 %,1
6,Honey Basil Amber,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,5.50 %,0
7,Aqula American Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
8,Jazz Beer Tarraco Amber,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Mammoth Real McCoy Amber Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
9,Red Hopper ( Imperial Red Ale ),Oskar Blues Grill & Brew,American Amber / Red Ale,6.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
