,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,match_score
0,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Spice/Herb/Vegetable,%,"{'rtable_ABV', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_Beer_Name'}",0.016588930040597916
15,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,,0.9985583424568176
1,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,"('rtable_Beer_Name',)",0.67413896
2,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Black Sky Brewery,Amber Ale,6.90 %,"('rtable_Brew_Factory_Name',)",0.9999565
3,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,6.90 %,"('rtable_Style',)",0.99998283
4,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,%,"('rtable_ABV',)",0.9999913
5,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Amber Ale,6.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')",0.48376307
6,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,6.90 %,"('rtable_Beer_Name', 'rtable_Style')",0.6150629
7,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Ca l_Arenys - Cervezas Guineu,Amber Ale,%,"('rtable_Beer_Name', 'rtable_ABV')",0.16772437
8,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Black Sky Brewery,Spice/Herb/Vegetable,6.90 %,"('rtable_Brew_Factory_Name', 'rtable_Style')",0.9994892
9,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Black Sky Brewery,Amber Ale,%,"('rtable_Brew_Factory_Name', 'rtable_ABV')",0.99979275
10,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,%,"('rtable_Style', 'rtable_ABV')",0.9997881
11,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Spice/Herb/Vegetable,6.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')",0.21917060000000002
12,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Amber Ale,%,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')",0.06244247
13,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Black Sky Imperial Petal to the Metal,Ca l_Arenys - Cervezas Guineu,Spice/Herb/Vegetable,%,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')",0.64181703
14,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Black Sky Brewery,Spice/Herb/Vegetable,%,"('rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')",0.9992083
