,explanation,summary,type,latency,match,label,row,prediction
0,"{'ltable_name': 0.8333333333333333, 'ltable_description': 0.5, 'ltable_price': 0.5, 'rtable_name': 0.5, 'rtable_description': 0.5, 'rtable_price': 0.3333333333333333}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.0, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.0, 'rtable_description/rtable_price': 0.0}",certa,20.779163674000003,0.0,0.0,445-910,[0.96787144 0.03212856]
1,"{'ltable_name': 0.5499999999999999, 'ltable_description': 0.35, 'ltable_price': 0.35, 'rtable_name': 0.7000000000000001, 'rtable_description': 0.4, 'rtable_price': 0.4}","{'rtable_name': 0.6, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name': 0.4, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name/rtable_description': 0.6, 'rtable_name/rtable_price': 0.6, 'rtable_description/rtable_price': 0.0, 'ltable_name/ltable_description': 0.4, 'ltable_name/ltable_price': 0.4, 'ltable_description/ltable_price': 0.0}",certa,31.091651146000004,0.0,0.0,719-812,[0.93042437 0.06957563]
2,"{'ltable_name': 1.0, 'ltable_description': 0.5, 'ltable_price': 0.5, 'rtable_name': 0.25, 'rtable_description': 0.25, 'rtable_price': 0.25}","{'ltable_name': 1.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'ltable_name/ltable_description': 1.0, 'ltable_name/ltable_price': 1.0, 'ltable_description/ltable_price': 0.0}",certa,27.025241342000072,0.0,0.0,550-664,[0.94717526 0.05282474]
3,"{'ltable_name': 0.6052631578947368, 'ltable_description': 0.39473684210526316, 'ltable_price': 0.3684210526315789, 'rtable_name': 0.6578947368421052, 'rtable_description': 0.39473684210526316, 'rtable_price': 0.39473684210526316}","{'ltable_name': 0.4, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.4, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,38.441503419000014,0.0,1.0,942-949,[0.94765805 0.05234195]
4,"{'ltable_name': 0.42307692307692313, 'ltable_description': 0.2692307692307693, 'ltable_price': 0.2692307692307693, 'rtable_name': 0.5384615384615385, 'rtable_description': 0.42307692307692313, 'rtable_price': 0.5384615384615385}","{'rtable_name': 0.6, 'rtable_description': 0.0, 'rtable_price': 0.6, 'ltable_name': 0.4, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name/rtable_description': 0.6, 'rtable_name/rtable_price': 0.6, 'rtable_description/rtable_price': 0.6, 'ltable_name/ltable_description': 0.4, 'ltable_name/ltable_price': 0.4, 'ltable_description/ltable_price': 0.0}",certa,33.21977932899995,0.0,0.0,643-636,[0.92006631 0.07993369]
5,"{'ltable_name': 1.0, 'ltable_description': 0.5, 'ltable_price': 0.5, 'rtable_name': 0.25, 'rtable_description': 0.25, 'rtable_price': 0.25}","{'ltable_name': 1.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'ltable_name/ltable_description': 1.0, 'ltable_name/ltable_price': 1.0, 'ltable_description/ltable_price': 0.0}",certa,29.300888902999986,0.0,0.0,495-578,[0.95067511 0.04932489]
6,"{'ltable_name': 1.0, 'ltable_description': 0.5, 'ltable_price': 0.5, 'rtable_name': 0.25, 'rtable_description': 0.25, 'rtable_price': 0.25}","{'ltable_name': 1.0, 'ltable_description': 0.0, 'ltable_price': 0.0, 'ltable_name/ltable_description': 1.0, 'ltable_name/ltable_price': 1.0, 'ltable_description/ltable_price': 0.0}",certa,27.047496491999937,0.0,0.0,994-336,[0.94090765 0.05909235]
7,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0}",certa,16.715450009999813,0.0,0.0,808-127,[0.9413062 0.0586938]
8,"{'ltable_name': 0.625, 'ltable_description': 0.375, 'ltable_price': 0.375, 'rtable_name': 0.625, 'rtable_description': 0.375, 'rtable_price': 0.375}","{'rtable_name': 0.5, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name': 0.5, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name/rtable_description': 0.5, 'rtable_name/rtable_price': 0.5, 'rtable_description/rtable_price': 0.0, 'ltable_name/ltable_description': 0.5, 'ltable_name/ltable_price': 0.5, 'ltable_description/ltable_price': 0.0}",certa,17.55727325299995,0.0,0.0,987-980,[0.9527139 0.0472861]
9,"{'ltable_name': 0.7333333333333333, 'ltable_description': 0.4666666666666667, 'ltable_price': 0.4666666666666667, 'rtable_name': 0.6, 'rtable_description': 0.5333333333333333, 'rtable_price': 0.36666666666666664}","{'ltable_name': 0.4, 'ltable_description': 0.0, 'ltable_price': 0.0, 'rtable_name': 0.1, 'rtable_description': 0.0, 'rtable_price': 0.0, 'ltable_name/ltable_description': 0.4, 'ltable_name/ltable_price': 0.4, 'ltable_description/ltable_price': 0.0, 'rtable_name/rtable_description': 0.6, 'rtable_name/rtable_price': 0.1, 'rtable_description/rtable_price': 0.0}",certa,17.516266348000045,0.0,0.0,332-237,[0.94907083 0.05092917]
