,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Rocket City Red,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Jazz Beer Tarraco Amber,Heavy Seas Brewing Company,Amber Ale,-,0
1,Honey Basil Amber,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
2,Aqula American Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Jazz Beer Tarraco Amber,Mammoth Brewing Company,Amber Ale,7.10 %,0
3,Rocket City Red,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Amber Ale,5.50 %,1
4,Aqula American Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Brannon_s Deputation Imperial Red Ale,Mammoth Brewing Company,Amber Ale,4.50 %,1
5,Rocket City Red,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Amber Ale,4.90 %,1
6,Honey Basil Amber,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Spice/Herb/Vegetable,4.90 %,0
7,Rocket City Red,Rude Hippo Brewing Company,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Amber Ale,4.90 %,0
8,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Spice/Herb/Vegetable,4.90 %,0
9,Rocket City Red,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Rude Hippo Honey Basil Amber,Heavy Seas Brewing Company,Amber Ale,-,0
