,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,label
0,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,maytag 2.0 cu . ft. over-the-range microwave oven,toshiba sd-p71s 7 ' portable dvd player,nan,1
1,panasonic black 8.5 ' portable dvd player dvdls83,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,139.0,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,1
2,panasonic black 8.5 ' portable dvd player dvdls83,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,1
3,olympus black 10 megapixels digital camera sp565uz,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",119.36,1
4,panasonic black 8.5 ' portable dvd player dvdls83,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,nan,toshiba sd-p71s portable dvd player,xs fm transmitter 6 lines lcd,119.36,1
5,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,104.95,1
6,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,toshiba sd-p71s portable dvd player,lithium ion ( li-ion ) photo battery,119.36,1
7,audiovox commander mt xm satellite radio receiver xmrvrfm002,canon silver powershot digital camera sd880is 10 megapixel 4x optical zoom optical image stabilizer 3.0 ' purecolor lcd ii digic 4 image processor face detection self-timer red-eye correction 19 shooting modes print/share button silver finish,nan,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,1
8,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,canon dc310 digital camcorder 2694b001,xs fm transmitter 6 lines lcd,119.36,1
9,panasonic black 8.5 ' portable dvd player dvdls83,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,nan,toshiba sd-p71s portable dvd player,16:9 2.7 ' hybrid lcd,119.36,1
