,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,label
0,Twisted Stick Amber Ale,Phillips Brewing Company,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
1,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Brannon_s Deputation Imperial Red Ale,Sick N Twisted Brewing Company,Barley Wine,5.50 %,0
2,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,8.20 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,4.90 %,0
3,Jazz Beer Tarraco Amber,Portneuf Valley Brewing,American Amber / Red Ale,-,Figure Eight Bourbon Barrel Aged Jumbo Love,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
4,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,9.70 %,Sick N Twisted Pleasure Victim Amber Ale,Scuttlebutt Brewing Co. .,Amber Ale,5.50 %,0
5,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,4.90 %,0
6,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Big Island Red Giant Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,1
7,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Scuttlebutt Mateo Loco Imperial Red Ale,18th Street Brewery,Amber Ale,5.50 %,0
8,Twisted Stick Amber Ale,Straight To Ale,American Amber / Red Ale,7.40 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0
9,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,9.70 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,4.50 %,0
