,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
19,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Stagecoach Amber Ale,Mantorville Brewing Co,Amber Ale,5.50 %,0.38596073,0.6140393,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sick N Twisted Pleasure Victim Amber Ale', 'Sick N Twisted Brewing Company']","['Stagecoach Amber Ale', 'Mantorville Brewing Co']",1@313 0@1479 1@1563,2
13,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Phillips Amber Ale,Heavy Seas Brewing Company,Amber Ale,5.50 %,0.12649445,0.87350553,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sick N Twisted Pleasure Victim Amber Ale', 'Sick N Twisted Brewing Company']","['Phillips Amber Ale', 'Heavy Seas Brewing Company']",1@2628 0@1479 1@1563,2
12,Sweet Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.1837467,0.8162533,"('ltable_Beer_Name', 'ltable_Style')","['Twisted Stick Amber Ale', 'American Amber / Red Ale']","['Sweet Amber Ale', 'American Amber / Red Ale']",0@3088 1@1563 0@1479,2
11,Sweet Amber Ale,Findlay Brewing Company,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.15890718,0.8410928,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Twisted Stick Amber Ale', 'Portneuf Valley Brewing']","['Sweet Amber Ale', 'Findlay Brewing Company']",0@3088 1@1563 0@1479,2
10,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Peak Organic Amber Ale,Shipyard Brewing Company,Amber Ale,5.50 %,0.43118086,0.56881917,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sick N Twisted Pleasure Victim Amber Ale', 'Sick N Twisted Brewing Company']","['Peak Organic Amber Ale', 'Shipyard Brewing Company']",1@691 0@1479 1@1563,2
16,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sheps Amber Ale,The Good Shepherds Brewing Co. .,Amber Ale,5.50 %,0.1876354,0.8123646,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sick N Twisted Pleasure Victim Amber Ale', 'Sick N Twisted Brewing Company']","['Sheps Amber Ale', 'The Good Shepherds Brewing Co. .']",1@2121 0@1479 1@1563,2
8,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.18505226,0.8149478,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Twisted Stick Amber Ale', 'Portneuf Valley Brewing']","['ESB Amber Ale', 'Flying Fish Brewing Company']",0@98 1@1563 0@1479,2
7,Balls Of Fire,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.09002891,0.9099711,"('ltable_Beer_Name', 'ltable_Style')","['Twisted Stick Amber Ale', 'American Amber / Red Ale']","['Balls Of Fire', 'American Amber / Red Ale']",0@3283 1@1563 0@1479,2
6,Balls Of Fire,Sick N Twisted Brewing Co. .,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.19309096,0.8069091,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Twisted Stick Amber Ale', 'Portneuf Valley Brewing']","['Balls Of Fire', 'Sick N Twisted Brewing Co. .']",0@3283 1@1563 0@1479,2
5,Empire Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.26539183,0.7346082,"('ltable_Beer_Name', 'ltable_Style')","['Twisted Stick Amber Ale', 'American Amber / Red Ale']","['Empire Amber Ale', 'American Amber / Red Ale']",0@283 1@1563 0@1479,2
4,Empire Amber Ale,Empire Brewing Company,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.1600621,0.8399379,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Twisted Stick Amber Ale', 'Portneuf Valley Brewing']","['Empire Amber Ale', 'Empire Brewing Company']",0@283 1@1563 0@1479,2
9,ESB Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.051028583,0.9489714,"('ltable_Beer_Name', 'ltable_Style')","['Twisted Stick Amber Ale', 'American Amber / Red Ale']","['ESB Amber Ale', 'American Amber / Red Ale']",0@98 1@1563 0@1479,2
