,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
20,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Paradox Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5 %,0.41402924060821533,0.5859707593917847,"('rtable_Beer_Name', 'rtable_ABV')","['Sawdust City Red Rocket Coffee Spiced Stout', '5.20 %']","['Paradox Red Ale', '5 %']",1@4224 0@1024 1@37,2
23,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5 %,0.32717275619506836,0.6728272438049316,"('rtable_Beer_Name', 'rtable_ABV')","['Sawdust City Red Rocket Coffee Spiced Stout', '5.20 %']","['Red Ale', '5 %']",1@39422 0@1024 1@37,2
18,River City,Straight To Ale,American Amber / Red Ale,5.60 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.37127870321273804,0.628721296787262,"('ltable_Beer_Name', 'ltable_ABV')","['Rocket City Red', '5.00 %']","['River City', '5.60 %']",0@37058 1@37 0@1024,2
29,Festivus,Straight To Ale,American Amber / Red Ale,6.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.36599069833755493,0.6340093016624451,"('ltable_Beer_Name', 'ltable_ABV')","['Rocket City Red', '5.00 %']","['Festivus', '6.20 %']",0@60455 1@37 0@1024,2
33,City Red,Straight To Ale,American Amber / Red Ale,5.60 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.4995993375778198,0.5004006624221802,"('ltable_Beer_Name', 'ltable_ABV')","['Rocket City Red', '5.00 %']","['City Red', '5.60 %']",0@37055 1@37 0@1024,2
15,Copperhead,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,0.2576289772987366,0.7423710227012634,"('ltable_Beer_Name', 'ltable_ABV')","['Rocket City Red', '5.00 %']","['Copperhead', '5.20 %']",0@76055 1@37 0@1024,2
12,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Rocket Red Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5 %,0.34620267152786255,0.6537973284721375,"('rtable_Beer_Name', 'rtable_ABV')","['Sawdust City Red Rocket Coffee Spiced Stout', '5.20 %']","['Rocket Red Ale', '5 %']",1@28314 0@1024 1@37,2
58,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Red Ale,Paradox Brewery,Amber Ale,5.20 %,0.38154661655426025,0.6184533834457397,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company', 'Spice/Herb/Vegetable']","['Red Ale', 'Paradox Brewery', 'Amber Ale']",1@4220 0@1024 1@37,3
49,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Red Ale,Nausta Bryggeri,Amber Ale,5.20 %,0.38856780529022217,0.6114321947097778,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company', 'Spice/Herb/Vegetable']","['Red Ale', 'Nausta Bryggeri', 'Amber Ale']",1@39422 0@1024 1@37,3
46,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Paradox Red Ale,Brewery,Amber Ale,5.20 %,0.4580268859863281,0.5419731140136719,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company', 'Spice/Herb/Vegetable']","['Paradox Red Ale', 'Brewery', 'Amber Ale']",1@4224 0@1024 1@37,3
37,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Rocket Red Ale,Basil Ts &#40; Red Bank &#41;,Amber Ale,5.20 %,0.49815356731414795,0.501846432685852,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company', 'Spice/Herb/Vegetable']","['Rocket Red Ale', 'Basil Ts &#40; Red Bank &#41;', 'Amber Ale']",1@28314 0@1024 1@37,3
34,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Red Ale,Stonehammer Brewery,Amber Ale,5.20 %,0.3785850405693054,0.6214149594306946,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company', 'Spice/Herb/Vegetable']","['Red Ale', 'Stonehammer Brewery', 'Amber Ale']",1@53096 0@1024 1@37,3
