,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
22,,Noggin Floggin ( Bourbon,Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.981837809085846,0.018162190914154053,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Noggin Floggin ( Bourbon', 'American Barleywine']",0@85428 1@2381 0@4168,2
23,,Noggin Floggin ( Bourbon,Elevator Brewery & Draught Haus,American Barleywine,9.60 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9725341796875,0.0274658203125,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Noggin Floggin ( Bourbon', '9.60 %']",0@85428 1@2381 0@4168,2
25,,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,Wine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9398260116577148,0.060173988342285156,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', 'Wine']",0@87335 1@2381 0@4168,2
26,,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,American Barleywine,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.875679075717926,0.12432092428207397,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', '9.50 %']",0@87335 1@2381 0@4168,2
27,,Hopworks Bourbon Aged,Elevator Brewery & Draught Haus,Barley Wine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.7306094765663147,0.2693905234336853,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Hopworks Bourbon Aged', 'Barley Wine']",0@87324 1@2381 0@4168,2
20,,Hopworks Bourbon Aged Noggin,Elevator Brewery & Draught Haus,American Barleywine,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9025936722755432,0.09740632772445679,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Hopworks Bourbon Aged Noggin', '9.50 %']",0@87326 1@2381 0@4168,2
28,,Hopworks Bourbon Aged,Elevator Brewery & Draught Haus,American Barleywine,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.5005508661270142,0.49944913387298584,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Hopworks Bourbon Aged', '9.50 %']",0@87324 1@2381 0@4168,2
30,,Noggin Floggin (,Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9568166732788086,0.043183326721191406,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Noggin Floggin (', 'American Barleywine']",0@85426 1@2381 0@4168,2
31,,Noggin Floggin (,Elevator Brewery & Draught Haus,American Barleywine,9.60 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.8797908425331116,0.12020915746688843,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Noggin Floggin (', '9.60 %']",0@85426 1@2381 0@4168,2
34,,Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,American Barleywine,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9527792930603027,0.047220706939697266,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Noggin Floggin Barley Wine', '9.50 %']",0@87323 1@2381 0@4168,2
36,,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,Barley Wine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9377282857894897,0.062271714210510254,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', 'Barley Wine']",0@87338 1@2381 0@4168,2
37,,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,American Barleywine,9.50,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.8800228834152222,0.11997711658477783,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', '9.50']",0@87338 1@2381 0@4168,2
19,,Hopworks Bourbon Aged Noggin,Elevator Brewery & Draught Haus,Barley Wine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9780187010765076,0.02198129892349243,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Hopworks Bourbon Aged Noggin', 'Barley Wine']",0@87326 1@2381 0@4168,2
33,,Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,Barley Wine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9717842936515808,0.02821570634841919,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Noggin Floggin Barley Wine', 'Barley Wine']",0@87323 1@2381 0@4168,2
10,,Noggin Floggin ( Bourbon Barrel,Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.7000880837440491,0.2999119162559509,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Noggin Floggin ( Bourbon Barrel', 'American Barleywine']",0@85430 1@2381 0@4168,2
11,,Noggin Floggin ( Bourbon Barrel,Elevator Brewery & Draught Haus,American Barleywine,9.60 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.7082907557487488,0.2917092442512512,"('ltable_Beer_Name', 'ltable_ABV')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', '11.00 %']","['Noggin Floggin ( Bourbon Barrel', '9.60 %']",0@85430 1@2381 0@4168,2
13,,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Elevator Brewery & Draught Haus,Barley,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,0.9446458220481873,0.055354177951812744,"('ltable_Beer_Name', 'ltable_Style')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'American Barleywine']","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', 'Barley']",0@87336 1@2381 0@4168,2
